date,hour,minute,bdaddr
2022-04-08,0,15,1182
2022-04-08,0,30,3329
2022-04-08,0,45,3608
2022-04-08,1,0,3598
2022-04-08,1,15,3585
2022-04-08,1,30,3546
2022-04-08,1,45,3504
2022-04-08,2,0,3359
2022-04-08,2,15,3527
2022-04-08,2,30,3584
2022-04-08,2,45,3703
2022-04-08,3,0,3570
2022-04-08,3,15,3633
2022-04-08,3,30,3643
2022-04-08,3,45,3622
2022-04-08,4,0,3560
2022-04-08,4,15,3661
2022-04-08,4,30,3677
2022-04-08,4,45,3688
2022-04-08,5,0,2178
2022-04-11,3,15,458
2022-04-11,3,30,3118
2022-04-11,3,45,3056
2022-04-11,4,0,2113
2022-04-11,4,15,2177
2022-04-11,4,30,3201
2022-04-11,4,45,2987
2022-04-11,5,0,2998
2022-04-11,5,15,3117
2022-04-11,5,30,3179
2022-04-11,5,45,3436
2022-04-11,6,0,3519
2022-04-11,6,15,2050
2022-04-11,6,30,3543
2022-04-11,6,45,3649
2022-04-11,7,0,3817
2022-04-11,7,15,3621
2022-04-11,7,30,3472
2022-04-11,7,45,3450
2022-04-11,8,0,3504
2022-04-11,8,15,3331
2022-04-11,8,30,3388
2022-04-11,8,45,3538
2022-04-11,9,0,3804
2022-04-11,9,15,3722
2022-04-11,9,30,3415
2022-04-11,9,45,3539
2022-04-11,10,0,3862
2022-04-11,10,15,2250
2022-04-11,10,30,3607
2022-04-11,10,45,373
2022-04-20,3,15,1463
2022-04-20,3,30,132
2022-04-20,5,0,2021
2022-04-20,5,15,2291
2022-04-20,5,30,2310
2022-04-20,5,45,2394
2022-04-20,6,0,2474
2022-04-20,6,15,2488
2022-04-20,6,30,2456
2022-04-20,6,45,2488
2022-04-20,7,0,2349
2022-04-20,7,15,2292
2022-04-20,7,30,2401
2022-04-20,7,45,2414
2022-04-20,8,0,1662
2022-04-20,8,15,2481
2022-04-20,8,30,2462
2022-04-20,8,45,2449
2022-04-20,9,0,2107
2022-04-20,9,15,1767
2022-04-20,9,30,2476
2022-04-20,9,45,2529
2022-04-20,10,0,2487
2022-04-20,10,15,1602
2022-04-20,10,30,2592
2022-04-20,10,45,2569
2022-04-20,11,0,2512
2022-04-20,11,15,2536
2022-04-20,11,30,2564
2022-04-20,11,45,2521
2022-04-20,12,0,2570
2022-04-20,12,15,2591
2022-04-20,12,30,1572
2022-04-20,12,45,2631
2022-04-20,13,0,2621
2022-04-20,13,15,2580
2022-04-20,13,30,2548
2022-04-20,13,45,2538
2022-04-20,14,0,2460
2022-04-20,14,15,2639
2022-04-20,14,30,2626
2022-04-20,14,45,2621
2022-04-20,15,0,2600
2022-04-20,15,15,2617
2022-04-20,15,30,2638
2022-04-20,15,45,2655
2022-04-20,16,0,1320
2022-04-25,11,30,349
2022-04-25,11,45,2169
2022-04-25,12,0,4153
2022-04-25,12,15,5447
2022-04-25,12,30,4762
2022-04-25,12,45,5346
2022-04-25,13,0,5026
2022-04-25,13,15,4943
2022-04-25,13,30,4964
2022-04-25,13,45,5138
2022-04-25,14,0,4723
2022-04-25,14,15,4463
2022-04-25,14,30,4319
2022-04-25,14,45,4819
2022-04-25,15,0,4745
2022-04-25,15,15,5203
2022-04-25,15,30,5245
2022-04-25,15,45,5106
