date,hour,minute,bdaddr
2022-04-21,4,15,286
2022-04-21,4,30,289
2022-04-21,4,45,91
2022-04-21,5,30,539
2022-04-21,12,0,57
2022-04-21,12,15,2407
2022-04-26,18,15,2716
2022-04-26,18,30,8113
2022-04-26,18,45,8183
2022-04-26,19,0,7386
2022-04-26,19,15,6949
2022-04-26,19,30,6337
2022-04-26,19,45,4471
2022-04-26,20,0,1860
2022-04-26,20,15,1486
2022-04-26,20,30,1118
2022-04-26,20,45,675
2022-04-26,21,0,571
2022-04-26,21,15,526
2022-04-26,21,30,436
2022-04-26,21,45,401
2022-04-26,22,0,336
2022-04-26,22,15,384
2022-04-26,22,30,368
2022-04-26,22,45,376
2022-04-26,23,0,349
2022-04-26,23,15,173
2022-04-26,23,30,214
2022-04-26,23,45,205
2022-04-27,0,0,178
2022-04-27,0,15,173
2022-04-27,0,30,152
2022-04-27,0,45,167
2022-04-27,1,0,175
2022-04-27,1,15,149
2022-04-27,1,30,227
2022-04-27,1,45,162
2022-04-27,2,0,143
2022-04-27,2,15,148
2022-04-27,2,30,153
2022-04-27,2,45,169
2022-04-27,3,0,162
2022-04-27,3,15,181
2022-04-27,3,30,165
2022-04-27,3,45,165
2022-04-27,4,0,131
2022-04-27,4,15,4
2022-04-27,4,30,42
2022-04-27,4,45,37
2022-04-27,5,0,3
2022-04-27,5,15,61
2022-04-27,5,30,113
2022-04-27,5,45,124
2022-04-27,6,0,173
2022-04-27,6,15,212
2022-04-27,6,30,203
2022-04-27,6,45,198
2022-04-27,7,0,190
2022-04-27,7,15,232
2022-04-27,7,30,227
2022-04-27,7,45,1121
2022-04-27,8,0,1940
2022-04-27,8,15,2406
2022-04-27,8,30,2623
2022-04-27,8,45,2586
2022-04-27,9,0,2570
2022-04-27,9,15,2714
2022-04-27,9,30,3639
2022-04-27,9,45,4962
2022-04-27,10,0,5491
2022-04-27,10,15,6435
2022-04-27,10,30,6877
2022-04-27,10,45,7501
2022-04-27,11,0,6912
2022-04-27,11,15,7915
2022-04-27,11,30,8075
2022-04-27,11,45,7773
2022-04-27,12,0,8121
2022-04-27,12,15,9260
2022-04-27,12,30,9401
2022-04-27,12,45,9440
2022-04-27,13,0,8593
2022-04-27,13,15,8359
2022-04-27,13,30,8643
2022-04-27,13,45,8428
2022-04-27,14,0,8600
2022-04-27,14,15,8769
2022-04-27,14,30,8227
2022-04-27,14,45,8591
2022-04-27,15,0,7771
2022-04-27,15,15,8232
2022-04-27,15,30,8355
2022-04-27,15,45,9485
2022-04-27,16,0,8845
2022-04-27,16,15,8244
2022-04-27,16,30,7993
2022-04-27,16,45,7716
2022-04-27,17,0,7301
2022-04-27,17,15,8208
2022-04-27,17,30,9457
2022-04-27,17,45,9926
2022-04-27,18,0,10301
2022-04-27,18,15,10472
2022-04-27,18,30,9480
2022-04-27,18,45,9333
2022-04-27,19,0,7546
2022-04-27,19,15,7391
2022-04-27,19,30,7006
2022-04-27,19,45,4254
2022-04-27,20,0,1546
2022-04-27,20,15,959
2022-04-27,20,30,738
2022-04-27,20,45,588
2022-04-27,21,0,489
2022-04-27,21,15,525
2022-04-27,21,30,510
2022-04-27,21,45,540
2022-04-27,22,0,502
2022-04-27,22,15,484
2022-04-27,22,30,552
2022-04-27,22,45,444
2022-04-27,23,0,475
2022-04-27,23,15,468
2022-04-27,23,30,430
2022-04-27,23,45,442
2022-04-28,0,0,430
2022-04-28,0,15,498
2022-04-28,0,30,434
2022-04-28,0,45,421
2022-04-28,1,0,414
2022-04-28,1,15,413
2022-04-28,1,30,432
2022-04-28,1,45,413
2022-04-28,2,0,389
2022-04-28,2,15,406
2022-04-28,2,30,403
2022-04-28,2,45,417
2022-04-28,3,0,410
2022-04-28,3,15,406
2022-04-28,3,30,422
2022-04-28,3,45,405
2022-04-28,4,0,341
2022-04-28,4,15,9
2022-04-28,4,30,72
2022-04-28,4,45,8
2022-04-28,5,0,70
2022-04-28,5,15,359
2022-04-28,5,30,399
2022-04-28,5,45,399
2022-04-28,6,0,423
2022-04-28,6,15,467
2022-04-28,6,30,441
2022-04-28,6,45,482
2022-04-28,7,0,455
2022-04-28,7,15,527
2022-04-28,7,30,593
2022-04-28,7,45,1286
2022-04-28,8,0,2044
2022-04-28,8,15,2511
2022-04-28,8,30,2566
2022-04-28,8,45,2764
2022-04-28,9,0,2375
2022-04-28,9,15,2504
2022-04-28,9,30,3574
2022-04-28,9,45,4682
2022-04-28,10,0,5721
2022-04-28,10,15,5975
2022-04-28,10,30,7095
2022-04-28,10,45,7532
2022-04-28,11,0,8159
2022-04-28,11,15,9127
2022-04-28,11,30,8737
2022-04-28,11,45,8271
2022-04-28,12,0,8164
2022-04-28,12,15,8718
2022-04-28,12,30,9530
2022-04-28,12,45,9070
2022-04-28,13,0,7848
2022-04-28,13,15,8574
2022-04-28,13,30,8241
2022-04-28,13,45,8252
2022-04-28,14,0,8263
2022-04-28,14,15,8007
2022-04-28,14,30,9573
2022-04-28,14,45,8422
2022-04-28,15,0,7589
2022-04-28,15,15,8423
2022-04-28,15,30,8477
2022-04-28,15,45,9446
2022-04-28,16,0,7928
2022-04-28,16,15,8638
2022-04-28,16,30,8031
2022-04-28,16,45,8364
2022-04-28,17,0,8264
2022-04-28,17,15,8456
2022-04-28,17,30,9394
2022-04-28,17,45,10698
2022-04-28,18,0,10143
2022-04-28,18,15,10402
2022-04-28,18,30,10074
2022-04-28,18,45,10184
2022-04-28,19,0,8790
2022-04-28,19,15,7763
2022-04-28,19,30,6799
2022-04-28,19,45,4262
2022-04-28,20,0,1669
2022-04-28,20,15,1410
2022-04-28,20,30,1027
2022-04-28,20,45,706
2022-04-28,21,0,639
2022-04-28,21,15,594
2022-04-28,21,30,613
2022-04-28,21,45,516
2022-04-28,22,0,510
2022-04-28,22,15,492
2022-04-28,22,30,507
2022-04-28,22,45,443
2022-04-28,23,0,437
2022-04-28,23,15,512
2022-04-28,23,30,482
2022-04-28,23,45,476
2022-04-29,0,0,397
2022-04-29,0,15,414
2022-04-29,0,30,437
2022-04-29,0,45,442
2022-04-29,1,0,426
2022-04-29,1,15,405
2022-04-29,1,30,400
2022-04-29,1,45,413
2022-04-29,2,0,414
2022-04-29,2,15,407
2022-04-29,2,30,379
2022-04-29,2,45,212
2022-04-29,3,0,341
2022-04-29,3,15,349
2022-04-29,3,30,390
2022-04-29,3,45,385
2022-04-29,4,0,319
2022-04-29,4,30,93
2022-04-29,5,0,72
2022-04-29,5,15,159
2022-04-29,5,30,404
2022-04-29,5,45,416
2022-04-29,6,0,522
2022-04-29,6,15,624
2022-04-29,6,30,579
2022-04-29,6,45,578
2022-04-29,7,0,553
2022-04-29,7,15,554
2022-04-29,7,30,576
2022-04-29,7,45,1001
2022-04-29,8,0,1156
2022-04-29,8,15,1184
2022-04-29,8,30,1302
2022-04-29,8,45,1720
2022-04-29,9,0,2190
2022-04-29,9,15,2515
2022-04-29,9,30,3730
2022-04-29,9,45,4513
2022-04-29,10,0,6720
2022-04-29,10,15,7654
2022-04-29,10,30,9053
2022-04-29,10,45,10205
2022-04-29,11,0,10929
2022-04-29,11,15,10897
2022-04-29,11,30,11332
2022-04-29,11,45,10741
2022-04-29,12,0,9994
2022-04-29,12,15,10401
2022-04-29,12,30,9714
2022-04-29,12,45,11150
2022-04-29,13,0,11495
2022-04-29,13,15,11277
2022-04-29,13,30,10980
2022-04-29,13,45,11308
2022-04-29,14,0,10754
2022-04-29,14,15,11850
2022-04-29,14,30,12416
2022-04-29,14,45,11710
2022-04-29,15,0,11397
2022-04-29,15,15,10585
2022-04-29,15,30,9884
2022-04-29,15,45,10907
2022-04-29,16,0,10039
2022-04-29,16,15,9793
2022-04-29,16,30,9939
2022-04-29,16,45,9835
2022-04-29,17,0,9295
2022-04-29,17,15,9887
2022-04-29,17,30,8871
2022-04-29,17,45,9985
2022-04-29,18,0,9622
2022-04-29,18,15,8349
2022-04-29,18,30,8559
2022-04-29,18,45,8026
2022-04-29,19,0,7337
2022-04-29,19,15,6918
2022-04-29,19,30,5150
2022-04-29,19,45,3343
2022-04-29,20,0,1387
2022-04-29,20,15,821
2022-04-29,20,30,765
2022-04-29,20,45,482
2022-04-29,21,0,429
2022-04-29,21,15,446
2022-04-29,21,30,436
2022-04-29,21,45,426
2022-04-29,22,0,423
2022-04-29,22,15,434
2022-04-29,22,30,407
2022-04-29,22,45,389
2022-04-29,23,0,399
2022-04-29,23,15,406
2022-04-29,23,30,393
2022-04-29,23,45,385
2022-04-30,0,0,342
2022-04-30,0,15,363
2022-04-30,0,30,377
2022-04-30,0,45,366
2022-04-30,1,0,359
2022-04-30,1,15,373
2022-04-30,1,30,362
2022-04-30,1,45,361
2022-04-30,2,0,350
2022-04-30,2,15,360
2022-04-30,2,30,363
2022-04-30,2,45,370
2022-04-30,3,0,368
2022-04-30,3,15,357
2022-04-30,3,30,365
2022-04-30,3,45,395
2022-04-30,4,0,261
2022-04-30,4,15,9
2022-04-30,5,15,289
2022-04-30,5,30,391
2022-04-30,5,45,389
2022-04-30,6,0,430
2022-04-30,6,15,439
2022-04-30,6,30,451
2022-04-30,6,45,424
2022-04-30,7,0,406
2022-04-30,7,15,417
2022-04-30,7,30,497
2022-04-30,7,45,582
2022-04-30,8,0,1769
2022-04-30,8,15,1965
2022-04-30,8,30,2038
2022-04-30,8,45,1991
2022-04-30,9,0,2518
2022-04-30,9,15,2921
2022-04-30,9,30,3675
2022-04-30,9,45,4763
2022-04-30,10,0,5949
2022-04-30,10,15,6828
2022-04-30,10,30,7618
2022-04-30,10,45,8744
2022-04-30,11,0,8497
2022-04-30,11,15,9185
2022-04-30,11,30,9769
2022-04-30,11,45,10154
2022-04-30,12,0,10108
2022-04-30,12,15,9977
2022-04-30,12,30,10648
2022-04-30,12,45,11380
2022-04-30,13,0,10910
2022-04-30,13,15,11244
2022-04-30,13,30,11770
2022-04-30,13,45,11038
2022-04-30,14,0,11017
2022-04-30,14,15,11756
2022-04-30,14,30,12572
2022-04-30,14,45,11735
2022-04-30,15,0,11949
2022-04-30,15,15,12628
2022-04-30,15,30,13157
2022-04-30,15,45,12411
2022-04-30,16,0,11662
2022-04-30,16,15,11095
2022-04-30,16,30,10220
2022-04-30,16,45,10397
2022-04-30,17,0,9998
2022-04-30,17,15,10488
2022-04-30,17,30,10954
2022-04-30,17,45,11454
2022-04-30,18,0,10334
2022-04-30,18,15,10150
2022-04-30,18,30,10347
2022-04-30,18,45,10106
2022-04-30,19,0,8657
2022-04-30,19,15,8082
2022-04-30,19,30,6883
2022-04-30,19,45,4685
2022-04-30,20,0,1658
2022-04-30,20,15,1007
2022-04-30,20,30,760
2022-04-30,20,45,646
2022-04-30,21,0,567
2022-04-30,21,15,527
2022-04-30,21,30,461
2022-04-30,21,45,403
2022-04-30,22,0,416
2022-04-30,22,15,333
2022-04-30,22,30,366
2022-04-30,22,45,361
2022-04-30,23,0,320
2022-04-30,23,15,373
2022-04-30,23,30,341
2022-04-30,23,45,340
2022-05-01,0,0,326
2022-05-01,0,15,333
2022-05-01,0,30,325
2022-05-01,0,45,335
2022-05-01,1,0,304
2022-05-01,1,15,313
2022-05-01,1,30,335
2022-05-01,1,45,312
2022-05-01,2,0,300
2022-05-01,2,15,335
2022-05-01,2,30,320
2022-05-01,2,45,301
2022-05-01,3,0,289
2022-05-01,3,15,321
2022-05-01,3,30,308
2022-05-01,3,45,305
2022-05-01,4,0,255
2022-05-01,4,15,8
2022-05-01,4,30,38
2022-05-01,4,45,12
2022-05-01,5,0,27
2022-05-01,5,15,267
2022-05-01,5,30,301
2022-05-01,5,45,293
2022-05-01,6,0,350
2022-05-01,6,15,487
2022-05-01,6,30,197
2022-05-01,6,45,342
2022-05-01,7,0,367
2022-05-01,7,15,378
2022-05-01,7,30,450
2022-05-01,7,45,922
2022-05-01,8,0,1022
2022-05-01,8,15,1132
2022-05-01,8,30,1222
2022-05-01,8,45,1436
2022-05-01,9,0,1599
2022-05-01,9,15,2387
2022-05-01,9,30,3130
2022-05-01,9,45,4926
2022-05-01,10,0,6578
2022-05-01,10,15,7417
2022-05-01,10,30,8515
2022-05-01,10,45,10284
2022-05-01,11,0,11006
2022-05-01,11,15,9972
2022-05-01,11,30,9955
2022-05-01,11,45,10110
2022-05-01,12,0,9615
2022-05-01,12,15,10446
2022-05-01,12,30,10310
2022-05-01,12,45,10809
2022-05-01,13,0,11424
2022-05-01,13,15,12056
2022-05-01,13,30,11520
2022-05-01,13,45,10658
2022-05-01,14,0,9759
2022-05-01,14,15,10574
2022-05-01,14,30,11050
2022-05-01,14,45,11392
2022-05-01,15,0,10274
2022-05-01,15,15,10835
2022-05-01,15,30,10630
2022-05-01,15,45,10331
2022-05-01,16,0,10728
2022-05-01,16,15,10117
2022-05-01,16,30,9831
2022-05-01,16,45,9770
2022-05-01,17,0,9459
2022-05-01,17,15,8849
2022-05-01,17,30,9576
2022-05-01,17,45,8939
2022-05-01,18,0,7215
2022-05-01,18,15,8094
2022-05-01,18,30,8020
2022-05-01,18,45,8008
2022-05-01,19,0,7007
2022-05-01,19,15,6853
2022-05-01,19,30,5974
