date,hour,minute,bdaddr
2022-05-23,4,15,214
2022-05-23,4,30,256
2022-05-23,4,45,1581
2022-05-23,5,0,1579
2022-05-23,5,15,1625
2022-05-23,5,30,1568
2022-05-23,5,45,1050
2022-05-23,6,0,131
2022-05-23,6,15,1541
2022-05-23,6,30,1093
2022-05-23,7,0,721
2022-05-23,7,15,1570
2022-05-23,7,30,1566
2022-05-23,7,45,1556
2022-05-23,8,0,1571
2022-05-23,8,15,1738
2022-05-23,8,30,1747
2022-05-23,8,45,1708
2022-05-23,9,0,1704
2022-05-23,9,15,1649
2022-05-23,9,30,905
2022-05-23,9,45,1649
2022-05-23,10,0,1634
2022-05-23,10,15,1695
2022-05-23,10,30,1763
2022-05-23,10,45,1681
2022-05-23,11,0,114
2022-05-23,18,45,3202
2022-05-23,19,0,4116
2022-05-23,19,15,2740
2022-05-23,19,30,3278
2022-05-23,19,45,3533
2022-05-23,20,0,1169
2022-05-23,20,15,1897
2022-05-23,20,30,1818
2022-05-23,20,45,2058
2022-05-23,21,0,1031
2022-05-23,22,0,451
2022-05-23,22,15,912
2022-05-23,22,30,853
2022-05-23,22,45,1131
2022-05-23,23,0,692
2022-05-23,23,15,770
2022-05-23,23,30,944
2022-05-23,23,45,494
2022-05-24,0,0,312
2022-05-24,0,15,861
2022-05-24,0,30,491
2022-05-24,1,0,74
2022-05-24,1,15,204
2022-05-24,1,30,403
2022-05-24,1,45,262
2022-05-24,2,0,536
2022-05-24,2,15,463
2022-05-24,2,30,288
2022-05-24,2,45,282
2022-05-24,3,0,86
2022-05-24,4,0,66
2022-05-24,4,15,69
2022-05-24,4,30,143
2022-05-24,4,45,178
2022-05-24,5,0,74
2022-05-24,5,15,220
2022-05-24,5,30,278
2022-05-24,5,45,274
2022-05-24,6,0,260
2022-05-24,6,15,14
2022-05-24,7,0,414
2022-05-24,7,15,1107
2022-05-24,7,30,803
2022-05-24,8,0,294
2022-05-24,8,15,3077
2022-05-24,8,30,3584
2022-05-24,8,45,3100
2022-05-24,9,0,2828
2022-05-24,9,15,2511
2022-05-24,9,30,2051
2022-05-24,9,45,2271
2022-05-24,10,0,2620
2022-05-24,10,15,2282
2022-05-24,10,30,2549
2022-05-24,10,45,2929
2022-05-24,11,0,1703
2022-05-24,11,15,3829
2022-05-24,11,30,2104
2022-05-24,11,45,2143
2022-05-24,12,0,4318
2022-05-24,12,15,2036
2022-05-24,12,30,3815
2022-05-24,12,45,4168
2022-05-24,13,0,3883
2022-05-24,13,15,3649
2022-05-24,13,30,3316
2022-05-24,13,45,3299
2022-05-24,14,0,3211
2022-05-24,14,15,2949
2022-05-24,14,30,3297
2022-05-24,14,45,2532
