datetime,count
2022-05-08 19:30:00,3891
2022-05-08 19:45:00,3584
2022-05-08 20:00:00,3061
2022-05-08 20:15:00,2995
2022-05-08 20:30:00,2761
2022-05-08 20:45:00,2851
2022-05-08 21:00:00,2562
2022-05-08 21:15:00,2512
2022-05-08 21:30:00,2698
2022-05-08 21:45:00,2526
2022-05-08 22:00:00,2271
2022-05-08 22:15:00,2233
2022-05-08 22:30:00,2130
2022-05-08 22:45:00,1608
2022-05-08 23:00:00,1531
2022-05-08 23:15:00,1682
2022-05-08 23:30:00,1590
2022-05-08 23:45:00,1709
2022-05-09 00:00:00,1364
2022-05-09 00:15:00,1374
2022-05-09 00:30:00,1274
2022-05-09 00:45:00,1295
2022-05-09 01:00:00,1192
2022-05-09 01:15:00,1251
2022-05-09 01:30:00,1258
2022-05-09 01:45:00,1185
2022-05-09 02:00:00,1165
2022-05-09 02:15:00,1191
2022-05-09 02:30:00,1176
2022-05-09 02:45:00,1138
2022-05-09 03:00:00,1113
2022-05-09 03:15:00,1185
2022-05-09 03:30:00,1128
2022-05-09 03:45:00,1171
2022-05-09 04:00:00,427
2022-05-09 04:15:00,14
2022-05-09 04:30:00,175
2022-05-09 04:45:00,215
2022-05-09 05:00:00,451
2022-05-09 05:15:00,1242
2022-05-09 05:30:00,1186
2022-05-09 05:45:00,1261
2022-05-09 06:00:00,1331
2022-05-09 06:15:00,1435
2022-05-09 06:30:00,1834
2022-05-09 06:45:00,2445
2022-05-09 07:00:00,2583
2022-05-09 07:15:00,2818
2022-05-09 07:30:00,3574
2022-05-09 07:45:00,4574
2022-05-09 08:00:00,5079
2022-05-09 08:15:00,4829
2022-05-09 08:30:00,4513
2022-05-09 08:45:00,3982
2022-05-09 09:00:00,3822
2022-05-09 09:15:00,4196
2022-05-09 09:30:00,4019
2022-05-09 09:45:00,4360
2022-05-09 10:00:00,3958
2022-05-09 10:15:00,4237
2022-05-09 10:30:00,4196
2022-05-09 10:45:00,4402
2022-05-09 11:00:00,3974
2022-05-09 11:15:00,4201
2022-05-09 11:30:00,4953
2022-05-09 11:45:00,5475
2022-05-09 12:00:00,5931
2022-05-09 12:15:00,5746
2022-05-09 12:30:00,6193
2022-05-09 12:45:00,5826
2022-05-09 13:00:00,4860
2022-05-09 13:15:00,4366
2022-05-09 13:30:00,5194
2022-05-09 13:45:00,4797
2022-05-09 14:00:00,4801
2022-05-09 14:15:00,5591
2022-05-09 14:30:00,5140
2022-05-09 14:45:00,5178
2022-05-09 15:00:00,5011
2022-05-09 15:15:00,4759
2022-05-09 15:30:00,4928
2022-05-09 15:45:00,4511
2022-05-09 16:00:00,4380
2022-05-09 16:15:00,4121
2022-05-09 16:30:00,4361
2022-05-09 16:45:00,4366
2022-05-09 17:00:00,4417
2022-05-09 17:15:00,4691
2022-05-09 17:30:00,5037
2022-05-09 17:45:00,5263
2022-05-09 18:00:00,5089
2022-05-09 18:15:00,5040
2022-05-09 18:30:00,4615
2022-05-09 18:45:00,4538
2022-05-09 19:00:00,4513
2022-05-09 19:15:00,4039
2022-05-09 19:30:00,4033
2022-05-09 19:45:00,3854
2022-05-09 20:00:00,3455
2022-05-09 20:15:00,3053
2022-05-09 20:30:00,2544
2022-05-09 20:45:00,2293
2022-05-09 21:00:00,2057
2022-05-09 21:15:00,2138
2022-05-09 21:30:00,2156
2022-05-09 21:45:00,2219
2022-05-09 22:00:00,1951
2022-05-09 22:15:00,1897
2022-05-09 22:30:00,1613
2022-05-09 22:45:00,1613
2022-05-09 23:00:00,1640
2022-05-09 23:15:00,1604
2022-05-09 23:30:00,1511
2022-05-09 23:45:00,1392
2022-05-10 00:00:00,1123
2022-05-10 00:15:00,1281
2022-05-10 00:30:00,1152
2022-05-10 00:45:00,1154
2022-05-10 01:00:00,1080
2022-05-10 01:15:00,1034
2022-05-10 01:30:00,982
2022-05-10 01:45:00,945
2022-05-10 02:00:00,1020
2022-05-10 02:15:00,946
2022-05-10 02:30:00,949
2022-05-10 02:45:00,1000
2022-05-10 03:00:00,970
2022-05-10 03:15:00,915
2022-05-10 03:30:00,893
2022-05-10 03:45:00,881
2022-05-10 04:00:00,301
2022-05-10 04:15:00,44
2022-05-10 04:30:00,112
2022-05-10 04:45:00,199
2022-05-10 05:00:00,0
2022-05-10 05:15:00,851
2022-05-10 05:30:00,1065
2022-05-10 05:45:00,1003
2022-05-10 06:00:00,1028
2022-05-10 06:15:00,1088
2022-05-10 06:30:00,1657
2022-05-10 06:45:00,1751
2022-05-10 07:00:00,2242
2022-05-10 07:15:00,2562
2022-05-10 07:30:00,3607
2022-05-10 07:45:00,4491
2022-05-10 08:00:00,5433
2022-05-10 08:15:00,2372
2022-05-10 08:30:00,5032
2022-05-10 08:45:00,1818
2022-05-10 09:00:00,3928
2022-05-10 09:15:00,5209
2022-05-10 09:30:00,4966
2022-05-10 09:45:00,4730
2022-05-10 10:00:00,4748
2022-05-10 10:15:00,5407
2022-05-10 10:30:00,5256
2022-05-10 10:45:00,4986
2022-05-10 11:00:00,5060
2022-05-10 11:15:00,5041
2022-05-10 11:30:00,5731
2022-05-10 11:45:00,6106
2022-05-10 12:00:00,5898
2022-05-10 12:15:00,6422
2022-05-10 12:30:00,6753
2022-05-10 12:45:00,6776
2022-05-10 13:00:00,5953
2022-05-10 13:15:00,5782
2022-05-10 13:30:00,5520
2022-05-10 13:45:00,5673
2022-05-10 14:00:00,5767
2022-05-10 14:15:00,5349
2022-05-10 14:30:00,5645
2022-05-10 14:45:00,6384
2022-05-10 15:00:00,5790
2022-05-10 15:15:00,5658
2022-05-10 15:30:00,5704
2022-05-10 15:45:00,4924
2022-05-10 16:00:00,4738
2022-05-10 16:15:00,4876
2022-05-10 16:30:00,5303
2022-05-10 16:45:00,4785
2022-05-10 17:00:00,4901
2022-05-10 17:15:00,5188
2022-05-10 17:30:00,5987
2022-05-10 17:45:00,5626
2022-05-10 18:00:00,5586
2022-05-10 18:15:00,6408
