date,hour,minute,bdaddr
2022-06-03,18,45,3062
2022-06-03,19,0,2973
2022-06-03,19,15,2878
2022-06-03,19,30,2717
2022-06-03,19,45,2736
2022-06-03,20,0,1964
2022-06-03,20,15,675
2022-06-03,21,0,1119
2022-06-03,21,15,2517
2022-06-03,21,30,1528
2022-06-03,21,45,1420
2022-06-03,22,0,776
2022-06-03,22,15,796
2022-06-03,22,30,658
2022-06-03,22,45,607
2022-06-03,23,0,290
2022-06-03,23,15,393
2022-06-03,23,30,871
2022-06-03,23,45,622
2022-06-04,0,0,783
2022-06-04,0,15,496
2022-06-04,0,30,480
2022-06-04,0,45,616
2022-06-04,1,0,456
2022-06-04,1,15,406
2022-06-04,1,30,254
2022-06-04,1,45,282
2022-06-04,2,0,290
2022-06-04,2,15,307
2022-06-04,2,30,85
2022-06-04,2,45,230
2022-06-04,3,0,157
2022-06-04,3,15,153
2022-06-04,3,30,252
2022-06-04,3,45,129
2022-06-04,4,0,17
2022-06-04,4,15,249
2022-06-04,4,30,222
2022-06-04,4,45,168
2022-06-04,5,0,150
2022-06-04,6,0,155
2022-06-04,6,15,140
2022-06-04,6,30,156
2022-06-04,6,45,252
2022-06-04,7,0,500
2022-06-04,7,15,430
2022-06-04,7,30,677
2022-06-04,7,45,1066
2022-06-04,8,0,786
2022-06-04,8,15,1132
2022-06-04,8,30,1785
2022-06-04,8,45,1720
2022-06-04,9,0,1737
2022-06-04,9,15,1662
2022-06-04,9,30,2258
2022-06-04,9,45,2071
2022-06-04,10,0,1998
2022-06-04,10,15,2253
2022-06-04,10,30,3096
2022-06-04,10,45,2661
2022-06-04,11,0,2836
2022-06-04,11,15,2453
2022-06-04,11,30,2629
2022-06-04,11,45,2774
2022-06-04,12,0,2489
2022-06-04,12,15,2365
2022-06-04,12,30,3073
2022-06-04,12,45,2907
2022-06-04,13,0,2696
2022-06-04,13,15,2790
2022-06-04,13,30,3557
2022-06-04,13,45,3544
2022-06-04,14,0,3076
2022-06-04,14,15,3506
2022-06-04,14,30,3567
2022-06-04,14,45,4069
2022-06-04,15,0,3248
2022-06-04,15,15,3179
2022-06-04,15,30,2944
2022-06-04,15,45,2760
2022-06-04,16,0,2511
2022-06-04,16,15,2624
2022-06-04,16,30,2628
2022-06-04,16,45,2843
2022-06-04,17,0,2443
2022-06-04,17,15,2821
2022-06-04,17,30,2994
2022-06-04,17,45,2547
2022-06-04,18,0,2038
2022-06-04,18,15,2185
2022-06-04,18,30,2434
2022-06-04,18,45,2480
2022-06-04,19,0,1987
2022-06-04,19,15,2232
2022-06-04,19,30,1782
2022-06-04,19,45,1867
2022-06-04,20,0,1368
2022-06-04,20,15,1122
2022-06-04,20,30,1271
2022-06-04,20,45,1451
2022-06-04,21,0,1430
2022-06-04,21,15,1269
2022-06-04,21,30,1487
2022-06-04,21,45,1362
2022-06-04,22,0,934
2022-06-04,22,15,827
2022-06-04,22,30,1192
2022-06-04,22,45,905
2022-06-04,23,0,980
2022-06-04,23,15,774
2022-06-04,23,30,943
2022-06-04,23,45,849
2022-06-05,0,0,508
2022-06-05,0,15,582
2022-06-05,0,30,966
2022-06-05,0,45,498
2022-06-05,1,0,441
2022-06-05,1,15,506
2022-06-05,1,30,633
2022-06-05,1,45,370
2022-06-05,2,0,321
2022-06-05,2,15,389
2022-06-05,2,30,376
2022-06-05,2,45,407
2022-06-05,3,0,238
2022-06-05,3,15,204
2022-06-05,3,30,369
2022-06-05,3,45,335
2022-06-05,4,0,344
2022-06-05,4,15,340
2022-06-05,4,30,336
2022-06-05,4,45,518
2022-06-05,5,0,324
2022-06-05,5,15,288
2022-06-05,5,30,439
2022-06-05,5,45,391
2022-06-05,6,0,284
2022-06-05,6,15,319
2022-06-05,6,30,523
2022-06-05,6,45,528
2022-06-05,7,0,465
2022-06-05,7,15,532
2022-06-05,7,30,672
2022-06-05,7,45,701
2022-06-05,8,0,726
2022-06-05,8,15,783
2022-06-05,8,30,1164
2022-06-05,8,45,1142
2022-06-05,9,0,877
2022-06-05,9,15,1324
2022-06-05,9,30,1719
2022-06-05,9,45,1488
2022-06-05,10,0,1371
2022-06-05,10,15,1921
2022-06-05,10,30,1955
2022-06-05,10,45,1996
2022-06-05,11,0,1703
2022-06-05,11,15,2240
2022-06-05,11,30,4826
2022-06-05,11,45,4974
2022-06-05,12,0,2092
2022-06-05,12,15,2239
2022-06-05,12,30,2571
2022-06-05,12,45,2595
2022-06-05,13,0,2017
2022-06-05,13,15,1996
2022-06-05,13,30,2242
2022-06-05,13,45,2760
2022-06-05,14,0,3139
2022-06-05,14,15,2435
2022-06-05,14,30,3183
2022-06-05,14,45,2535
2022-06-05,15,0,2769
2022-06-05,15,15,2948
2022-06-05,15,30,2628
2022-06-05,15,45,2533
2022-06-05,16,0,2219
2022-06-05,16,15,1951
2022-06-05,16,30,2384
2022-06-05,16,45,2759
2022-06-05,17,0,2050
2022-06-05,17,15,2045
2022-06-05,17,30,2541
2022-06-05,17,45,2496
2022-06-05,18,0,1603
2022-06-05,18,15,1717
2022-06-05,18,30,1767
2022-06-05,18,45,1672
2022-06-05,19,0,1172
2022-06-05,19,15,1621
2022-06-05,19,30,1553
2022-06-05,19,45,1709
2022-06-05,20,0,1115
2022-06-05,20,15,1170
2022-06-05,20,30,1300
2022-06-05,20,45,1364
2022-06-05,21,0,803
2022-06-05,21,15,1255
2022-06-05,21,30,1189
2022-06-05,21,45,1086
2022-06-05,22,0,797
2022-06-05,22,15,836
2022-06-05,22,30,902
2022-06-05,22,45,654
2022-06-05,23,0,661
2022-06-05,23,15,649
2022-06-05,23,30,562
2022-06-05,23,45,620
2022-06-06,0,0,494
2022-06-06,0,15,466
2022-06-06,0,30,468
2022-06-06,0,45,453
2022-06-06,1,0,411
2022-06-06,1,15,244
2022-06-06,1,30,302
2022-06-06,1,45,326
2022-06-06,2,0,286
2022-06-06,2,15,313
2022-06-06,2,30,316
2022-06-06,2,45,301
2022-06-06,3,0,200
2022-06-06,3,15,178
2022-06-06,3,30,307
2022-06-06,3,45,274
2022-06-06,4,0,283
2022-06-06,4,15,280
2022-06-06,4,30,295
2022-06-06,4,45,387
2022-06-06,5,0,311
2022-06-06,5,15,249
2022-06-06,5,30,310
2022-06-06,5,45,433
2022-06-06,6,0,397
2022-06-06,6,15,332
2022-06-06,6,30,552
2022-06-06,6,45,635
2022-06-06,7,0,790
2022-06-06,7,15,844
2022-06-06,7,30,1522
2022-06-06,7,45,1563
2022-06-06,8,0,2018
2022-06-06,8,15,2308
2022-06-06,8,30,3011
2022-06-06,8,45,4047
2022-06-06,9,0,3416
2022-06-06,9,15,3286
2022-06-06,9,30,3325
2022-06-06,9,45,3243
2022-06-06,10,0,3200
