date,hour,minute,bdaddr
2022-04-20,12,40,356
2022-04-20,12,45,173
2022-04-20,17,15,423
2022-04-20,17,20,10
2022-04-25,15,15,768
2022-04-25,15,20,1859
2022-04-25,15,25,1816
2022-04-25,15,30,2029
2022-04-25,15,35,2090
2022-04-25,15,40,2064
2022-04-25,15,45,2067
2022-04-25,15,50,2132
2022-04-25,15,55,1973
2022-04-25,16,0,1912
2022-04-25,16,5,1935
2022-04-25,16,10,1973
2022-04-25,16,15,2130
2022-04-25,16,20,2214
2022-04-25,16,25,2074
2022-04-25,16,30,1558
2022-04-25,16,35,1468
2022-04-25,16,40,738
2022-04-25,16,45,674
2022-04-25,16,50,748
2022-04-25,16,55,722
2022-04-25,17,0,643
2022-04-25,17,5,694
2022-04-25,17,10,617
2022-04-25,17,15,469
2022-04-25,17,20,519
2022-04-25,17,25,566
2022-04-25,17,30,554
2022-04-25,17,35,515
2022-04-25,17,40,578
2022-04-25,17,45,529
2022-04-25,17,50,595
2022-04-25,17,55,641
2022-04-25,18,0,502
2022-04-25,18,5,506
2022-04-25,18,10,464
2022-04-25,18,15,506
2022-04-25,18,20,491
2022-04-25,18,25,528
2022-04-25,18,30,550
2022-04-25,18,35,463
2022-04-25,18,40,498
2022-04-25,18,45,459
2022-04-25,18,50,498
2022-04-25,18,55,514
2022-04-25,19,0,470
2022-04-25,19,5,496
2022-04-25,19,10,634
2022-04-25,19,15,659
2022-04-25,19,20,565
2022-04-25,19,25,637
2022-04-25,19,30,545
2022-04-25,19,35,493
2022-04-25,19,40,563
2022-04-25,19,45,446
2022-04-25,19,50,553
2022-04-25,19,55,481
2022-04-25,20,0,508
2022-04-25,20,5,585
2022-04-25,20,10,582
2022-04-25,20,15,543
2022-04-25,20,20,454
2022-04-25,20,25,525
2022-04-25,20,30,482
2022-04-25,20,35,410
2022-04-25,20,40,416
2022-04-25,20,45,364
2022-04-25,20,50,286
2022-04-25,20,55,284
2022-04-25,21,0,391
2022-04-25,21,5,424
2022-04-25,21,10,435
2022-04-25,21,15,392
2022-04-25,21,20,321
2022-04-25,21,25,353
2022-04-25,21,30,403
2022-04-25,21,35,356
2022-04-25,21,40,273
2022-04-25,21,45,462
2022-04-25,21,50,482
2022-04-25,21,55,271
2022-04-25,22,0,266
2022-04-25,22,5,216
2022-04-25,22,10,209
2022-04-25,22,15,279
2022-04-25,22,20,217
2022-04-25,22,25,359
2022-04-25,22,30,279
2022-04-25,22,35,231
2022-04-25,22,40,198
2022-04-25,22,45,166
2022-04-25,22,50,197
2022-04-25,22,55,142
2022-04-25,23,0,87
2022-04-25,23,5,150
2022-04-25,23,10,203
2022-04-25,23,15,138
2022-04-25,23,20,142
2022-04-25,23,25,272
2022-04-25,23,30,117
2022-04-25,23,35,125
2022-04-25,23,40,113
2022-04-25,23,45,79
2022-04-25,23,50,83
2022-04-25,23,55,78
2022-04-26,0,0,50
2022-04-26,0,5,56
2022-04-26,0,10,48
2022-04-26,0,15,56
2022-04-26,0,20,40
2022-04-26,0,25,41
2022-04-26,0,30,47
2022-04-26,0,35,28
2022-04-26,0,40,31
2022-04-26,0,45,26
2022-04-26,0,50,39
2022-04-26,0,55,40
2022-04-26,1,0,30
2022-04-26,1,5,27
2022-04-26,1,10,24
2022-04-26,1,15,34
2022-04-26,1,20,30
2022-04-26,1,25,29
2022-04-26,1,30,25
2022-04-26,1,35,34
2022-04-26,1,40,80
2022-04-26,1,45,45
2022-04-26,1,50,29
2022-04-26,1,55,28
2022-04-26,2,0,31
2022-04-26,2,5,29
2022-04-26,2,10,21
2022-04-26,2,15,31
2022-04-26,2,20,41
2022-04-26,2,25,36
2022-04-26,2,30,28
2022-04-26,2,35,28
2022-04-26,2,40,29
2022-04-26,2,45,37
2022-04-26,2,50,21
2022-04-26,2,55,21
2022-04-26,3,0,27
2022-04-26,3,5,22
2022-04-26,3,10,24
2022-04-26,3,15,30
2022-04-26,3,20,23
2022-04-26,3,25,25
2022-04-26,3,30,27
2022-04-26,3,35,25
2022-04-26,3,40,47
2022-04-26,3,45,39
2022-04-26,3,50,21
2022-04-26,3,55,14
2022-04-26,4,0,29
2022-04-26,4,5,37
2022-04-26,4,30,1
2022-04-26,4,35,23
2022-04-26,4,55,9
2022-04-26,5,0,3
2022-04-26,5,15,5
2022-04-26,5,20,40
2022-04-26,5,25,30
2022-04-26,5,30,68
2022-04-26,5,35,36
2022-04-26,5,40,41
2022-04-26,5,45,38
2022-04-26,5,50,33
2022-04-26,5,55,30
2022-04-26,6,0,37
2022-04-26,6,5,46
2022-04-26,6,10,50
2022-04-26,6,15,49
2022-04-26,6,20,65
2022-04-26,6,25,76
2022-04-26,6,30,44
2022-04-26,6,35,40
2022-04-26,6,40,53
2022-04-26,6,45,35
2022-04-26,6,50,61
2022-04-26,6,55,97
2022-04-26,7,0,151
2022-04-26,7,5,133
2022-04-26,7,10,148
2022-04-26,7,15,185
2022-04-26,7,20,262
2022-04-26,7,25,311
2022-04-26,7,30,315
2022-04-26,7,35,256
2022-04-26,7,40,229
2022-04-26,7,45,361
2022-04-26,7,50,561
2022-04-26,7,55,586
2022-04-26,8,0,513
2022-04-26,8,5,595
2022-04-26,8,10,686
2022-04-26,8,15,712
2022-04-26,8,20,757
2022-04-26,8,25,794
2022-04-26,8,30,681
2022-04-26,8,35,797
2022-04-26,8,40,753
2022-04-26,8,45,657
2022-04-26,8,50,604
2022-04-26,8,55,575
2022-04-26,9,0,698
2022-04-26,9,5,754
2022-04-26,9,10,705
2022-04-26,9,15,711
2022-04-26,9,20,664
2022-04-26,9,25,682
2022-04-26,9,30,687
2022-04-26,9,35,721
2022-04-26,9,40,671
2022-04-26,9,45,713
2022-04-26,9,50,802
2022-04-26,9,55,760
2022-04-26,10,0,775
2022-04-26,10,5,1378
2022-04-26,10,10,1541
2022-04-26,10,15,1492
2022-04-26,10,20,1624
2022-04-26,10,25,1717
2022-04-26,10,30,1759
2022-04-26,10,35,1747
2022-04-26,10,40,1763
2022-04-26,10,45,1757
2022-04-26,10,50,1913
2022-04-26,10,55,1700
2022-04-26,11,0,1690
2022-04-26,11,5,1675
2022-04-26,11,10,1622
2022-04-26,11,15,1735
2022-04-26,11,20,1831
2022-04-26,11,25,1929
2022-04-26,11,30,1999
2022-04-26,11,35,1714
2022-04-26,11,40,1888
2022-04-26,11,45,1977
2022-04-26,11,50,2157
2022-04-26,11,55,2022
2022-04-26,12,0,2060
2022-04-26,12,5,2189
2022-04-26,12,10,2469
2022-04-26,12,15,2584
2022-04-26,12,20,2617
2022-04-26,12,25,2727
2022-04-26,12,30,2794
2022-04-26,12,35,2610
2022-04-26,12,40,2596
2022-04-26,12,45,2523
2022-04-26,12,50,2459
2022-04-26,12,55,2230
2022-04-26,13,0,1959
2022-04-26,13,5,2278
2022-04-26,13,10,2272
2022-04-26,13,15,2044
2022-04-26,13,20,2170
2022-04-26,13,25,2034
2022-04-26,13,30,2188
2022-04-26,13,35,2098
2022-04-26,13,40,2238
2022-04-26,13,45,2205
2022-04-26,13,50,2203
2022-04-26,13,55,2131
2022-04-26,14,0,1864
2022-04-26,14,5,2193
2022-04-26,14,10,2391
2022-04-26,14,15,2142
2022-04-26,14,20,2297
2022-04-26,14,25,2117
2022-04-26,14,30,2009
2022-04-26,14,35,1720
2022-04-26,14,40,2231
2022-04-26,14,45,2024
2022-04-26,14,50,1884
2022-04-26,14,55,1840
2022-04-26,15,0,1817
2022-04-26,15,5,2029
2022-04-26,15,10,2020
2022-04-26,15,15,2269
2022-04-26,15,20,2124
2022-04-26,15,25,1884
2022-04-26,15,30,2008
2022-04-26,15,35,1898
2022-04-26,15,40,2121
2022-04-26,15,45,1973
2022-04-26,15,50,2166
2022-04-26,15,55,2032
2022-04-26,16,0,1862
2022-04-26,16,5,2111
2022-04-26,16,10,2481
2022-04-26,16,15,2178
2022-04-26,16,20,1633
2022-04-26,16,25,594
2022-04-26,16,30,716
2022-04-26,16,35,476
2022-04-26,16,40,268
2022-04-26,16,45,483
2022-04-26,16,50,454
2022-04-26,16,55,348
2022-04-26,17,0,355
2022-04-26,17,5,352
2022-04-26,17,10,304
2022-04-26,17,15,383
2022-04-26,17,20,494
2022-04-26,17,25,345
2022-04-26,17,30,390
2022-04-26,17,35,412
2022-04-26,17,40,509
2022-04-26,17,45,502
2022-04-26,17,50,537
2022-04-26,17,55,522
2022-04-26,18,0,431
2022-04-26,18,5,517
2022-04-26,18,10,600
2022-04-26,18,15,589
2022-04-26,18,20,492
2022-04-26,18,25,497
2022-04-26,18,30,501
2022-04-26,18,35,435
2022-04-26,18,40,606
2022-04-26,18,45,724
2022-04-26,18,50,506
2022-04-26,18,55,515
2022-04-26,19,0,444
2022-04-26,19,5,514
2022-04-26,19,10,480
2022-04-26,19,15,458
2022-04-26,19,20,451
2022-04-26,19,25,405
2022-04-26,19,30,417
2022-04-26,19,35,500
2022-04-26,19,40,374
2022-04-26,19,45,323
2022-04-26,19,50,424
2022-04-26,19,55,421
2022-04-26,20,0,460
2022-04-26,20,5,700
2022-04-26,20,10,676
2022-04-26,20,15,576
2022-04-26,20,20,616
2022-04-26,20,25,545
2022-04-26,20,30,424
2022-04-26,20,35,307
