date,hour,minute,bdaddr
2022-07-18,14,10,1131
2022-07-18,14,15,1830
2022-07-18,14,20,1714
2022-07-18,14,25,1174
2022-07-18,14,30,1514
2022-07-18,14,35,1607
2022-07-18,14,40,1580
2022-07-18,14,45,1196
2022-07-18,14,50,1446
2022-07-18,14,55,1423
2022-07-18,15,0,909
2022-07-18,15,35,1000
2022-07-18,15,40,1156
2022-07-18,15,45,1094
2022-07-18,15,50,928
2022-07-18,15,55,1070
2022-07-18,16,0,942
2022-07-18,16,5,1085
2022-07-18,16,10,1211
2022-07-18,16,15,1155
2022-07-18,16,20,1071
2022-07-18,16,25,928
2022-07-18,16,30,1179
2022-07-18,16,35,1168
2022-07-18,16,40,1088
2022-07-18,16,45,1009
2022-07-18,16,50,1193
2022-07-18,16,55,1219
2022-07-18,17,0,1040
2022-07-18,17,5,945
2022-07-18,17,10,1029
2022-07-18,17,15,1080
2022-07-18,17,20,1043
2022-07-18,17,25,833
2022-07-18,17,30,1095
2022-07-18,17,35,1055
2022-07-18,17,40,1258
2022-07-18,17,45,1243
2022-07-18,17,50,1075
2022-07-18,17,55,1092
2022-07-18,18,0,1393
2022-07-18,18,5,1282
2022-07-18,18,10,1184
2022-07-18,18,15,1438
2022-07-18,18,20,1375
2022-07-18,18,25,1219
2022-07-18,18,30,1250
2022-07-18,18,35,896
2022-07-18,18,40,878
2022-07-18,18,45,1006
2022-07-18,18,50,1256
2022-07-18,18,55,902
2022-07-18,19,0,824
2022-07-18,19,5,913
2022-07-18,19,10,928
2022-07-18,19,15,1139
2022-07-18,19,20,1095
2022-07-18,19,25,1203
2022-07-18,19,30,793
2022-07-18,19,35,521
2022-07-18,19,40,638
2022-07-18,19,45,631
2022-07-18,19,50,690
2022-07-18,19,55,922
2022-07-18,20,0,728
2022-07-18,20,5,701
2022-07-18,20,10,667
2022-07-18,20,15,683
2022-07-18,20,20,1040
2022-07-18,20,25,1032
2022-07-18,20,30,946
2022-07-18,20,35,690
2022-07-18,20,40,628
2022-07-18,20,45,517
2022-07-18,20,50,791
2022-07-18,20,55,542
2022-07-18,21,0,393
2022-07-18,21,5,503
2022-07-18,21,10,469
2022-07-18,21,15,603
2022-07-18,21,20,610
2022-07-18,21,25,660
2022-07-18,21,30,615
2022-07-18,21,35,431
2022-07-18,21,40,558
2022-07-18,21,45,487
2022-07-18,21,50,451
2022-07-18,21,55,232
2022-07-18,22,0,458
2022-07-18,22,5,337
2022-07-18,22,10,526
2022-07-18,22,15,434
2022-07-18,22,20,427
2022-07-18,22,25,460
2022-07-18,22,30,327
2022-07-18,22,35,345
2022-07-18,22,40,509
2022-07-18,22,45,354
2022-07-18,22,50,256
2022-07-18,22,55,269
2022-07-18,23,0,183
2022-07-18,23,5,386
2022-07-18,23,10,535
2022-07-18,23,15,368
2022-07-18,23,20,277
2022-07-18,23,25,231
2022-07-18,23,30,149
2022-07-18,23,35,221
2022-07-18,23,40,173
2022-07-18,23,45,175
2022-07-18,23,50,190
2022-07-18,23,55,193
2022-07-19,0,0,143
2022-07-19,0,5,187
2022-07-19,0,10,117
2022-07-19,0,15,131
2022-07-19,0,20,120
2022-07-19,0,25,89
2022-07-19,0,30,107
2022-07-19,0,35,110
2022-07-19,0,40,92
2022-07-19,0,45,168
2022-07-19,0,50,95
2022-07-19,0,55,96
2022-07-19,1,0,100
2022-07-19,1,5,157
2022-07-19,1,10,249
2022-07-19,1,15,169
2022-07-19,1,20,288
2022-07-19,1,25,236
2022-07-19,1,30,158
2022-07-19,1,35,114
2022-07-19,1,40,131
2022-07-19,1,45,115
2022-07-19,1,50,158
2022-07-19,1,55,99
2022-07-19,2,0,79
2022-07-19,2,5,102
2022-07-19,2,10,95
2022-07-19,2,15,82
2022-07-19,2,20,97
2022-07-19,2,25,113
2022-07-19,2,30,244
2022-07-19,2,35,154
2022-07-19,2,40,164
2022-07-19,2,45,104
2022-07-19,2,50,95
2022-07-19,2,55,89
2022-07-19,3,0,104
2022-07-19,3,5,46
2022-07-19,3,15,5
2022-07-19,3,20,103
