date,hour,minute,bdaddr
2022-04-21,4,10,218
2022-04-21,4,15,68
2022-04-21,4,25,84
2022-04-21,4,30,205
2022-04-21,4,45,91
2022-04-21,5,25,539
2022-04-21,12,5,47
2022-04-21,12,10,893
2022-04-21,12,15,900
2022-04-21,12,20,624
2022-04-26,18,20,2769
2022-04-26,18,25,2694
2022-04-26,18,30,2876
2022-04-26,18,35,2452
2022-04-26,18,40,2832
2022-04-26,18,45,2698
2022-04-26,18,50,2726
2022-04-26,18,55,2476
2022-04-26,19,0,2456
2022-04-26,19,5,2376
2022-04-26,19,10,2577
2022-04-26,19,15,2225
2022-04-26,19,20,2224
2022-04-26,19,25,2236
2022-04-26,19,30,2044
2022-04-26,19,35,1998
2022-04-26,19,40,1811
2022-04-26,19,45,1688
2022-04-26,19,50,1013
2022-04-26,19,55,677
2022-04-26,20,0,586
2022-04-26,20,5,570
2022-04-26,20,10,531
2022-04-26,20,15,487
2022-04-26,20,20,489
2022-04-26,20,25,452
2022-04-26,20,30,342
2022-04-26,20,35,310
2022-04-26,20,40,251
2022-04-26,20,45,226
2022-04-26,20,50,207
2022-04-26,20,55,184
2022-04-26,21,0,168
2022-04-26,21,5,209
2022-04-26,21,10,186
2022-04-26,21,15,164
2022-04-26,21,20,187
2022-04-26,21,25,155
2022-04-26,21,30,155
2022-04-26,21,35,117
2022-04-26,21,40,135
2022-04-26,21,45,130
2022-04-26,21,50,142
2022-04-26,21,55,102
2022-04-26,22,0,116
2022-04-26,22,5,112
2022-04-26,22,10,136
2022-04-26,22,15,113
2022-04-26,22,20,140
2022-04-26,22,25,122
2022-04-26,22,30,119
2022-04-26,22,35,123
2022-04-26,22,40,132
2022-04-26,22,45,114
2022-04-26,22,50,134
2022-04-26,22,55,133
2022-04-26,23,0,121
2022-04-26,23,5,92
2022-04-26,23,10,62
2022-04-26,23,15,48
2022-04-26,23,20,65
2022-04-26,23,25,65
2022-04-26,23,30,66
2022-04-26,23,35,81
2022-04-26,23,40,76
2022-04-26,23,45,68
2022-04-26,23,50,63
2022-04-26,23,55,54
2022-04-27,0,0,52
2022-04-27,0,5,66
2022-04-27,0,10,73
2022-04-27,0,15,47
2022-04-27,0,20,59
2022-04-27,0,25,49
2022-04-27,0,30,54
2022-04-27,0,35,47
2022-04-27,0,40,62
2022-04-27,0,45,51
2022-04-27,0,50,56
2022-04-27,0,55,63
2022-04-27,1,0,41
2022-04-27,1,5,69
2022-04-27,1,10,59
2022-04-27,1,15,43
2022-04-27,1,20,49
2022-04-27,1,25,48
2022-04-27,1,30,101
2022-04-27,1,35,75
2022-04-27,1,40,64
2022-04-27,1,45,53
2022-04-27,1,50,48
2022-04-27,1,55,46
2022-04-27,2,0,49
2022-04-27,2,5,46
2022-04-27,2,10,55
2022-04-27,2,15,45
2022-04-27,2,20,50
2022-04-27,2,25,51
2022-04-27,2,30,49
2022-04-27,2,35,51
2022-04-27,2,40,53
2022-04-27,2,45,58
2022-04-27,2,50,60
2022-04-27,2,55,59
2022-04-27,3,0,43
2022-04-27,3,5,58
2022-04-27,3,10,63
2022-04-27,3,15,51
2022-04-27,3,20,69
2022-04-27,3,25,48
2022-04-27,3,30,57
2022-04-27,3,35,58
2022-04-27,3,40,53
2022-04-27,3,45,56
2022-04-27,3,50,58
2022-04-27,3,55,50
2022-04-27,4,0,53
2022-04-27,4,5,27
2022-04-27,4,15,2
2022-04-27,4,20,2
