datetime,count
2022-08-29 05:20:00,1041
2022-08-29 05:30:00,1923
2022-08-29 05:40:00,1961
2022-08-29 05:50:00,1982
2022-08-29 06:00:00,1902
2022-08-29 06:10:00,2037
2022-08-29 06:20:00,1979
2022-08-29 06:30:00,2006
2022-08-29 06:40:00,2047
2022-08-29 06:50:00,2085
2022-08-29 07:00:00,1952
2022-08-29 07:10:00,2064
2022-08-29 07:20:00,2118
2022-08-29 07:30:00,2041
2022-08-29 07:40:00,2059
2022-08-29 07:50:00,2040
2022-08-29 08:00:00,1950
2022-08-29 08:10:00,2053
2022-08-29 08:20:00,2082
2022-08-29 08:30:00,2078
2022-08-29 08:40:00,2063
2022-08-29 08:50:00,2083
2022-08-29 09:00:00,1938
2022-08-29 09:10:00,2050
2022-08-29 09:20:00,2098
2022-08-29 09:30:00,2138
2022-08-29 09:40:00,2148
2022-08-29 09:50:00,2136
2022-08-29 10:00:00,1978
2022-08-29 10:10:00,2030
2022-08-29 10:20:00,2086
2022-08-29 10:30:00,2040
2022-08-29 10:40:00,1670
2022-08-29 10:50:00,457
2022-08-29 11:00:00,1895
2022-08-29 11:10:00,1974
2022-08-29 11:20:00,1960
2022-08-29 11:30:00,1950
2022-08-29 11:40:00,1960
2022-08-29 11:50:00,2007
2022-08-29 12:00:00,1825
2022-08-29 12:10:00,1953
2022-08-29 12:20:00,1938
2022-08-29 12:30:00,119
2022-08-29 12:40:00,697
2022-08-29 12:50:00,0
2022-08-29 13:00:00,0
2022-08-29 13:10:00,0
2022-08-29 13:20:00,0
2022-08-29 13:30:00,0
2022-08-29 13:40:00,0
2022-08-29 13:50:00,0
2022-08-29 14:00:00,0
2022-08-29 14:10:00,0
2022-08-29 14:20:00,0
2022-08-29 14:30:00,0
2022-08-29 14:40:00,0
2022-08-29 14:50:00,0
2022-08-29 15:00:00,0
2022-08-29 15:10:00,0
2022-08-29 15:20:00,0
2022-08-29 15:30:00,0
2022-08-29 15:40:00,0
2022-08-29 15:50:00,0
2022-08-29 16:00:00,0
2022-08-29 16:10:00,0
2022-08-29 16:20:00,0
2022-08-29 16:30:00,0
2022-08-29 16:40:00,0
2022-08-29 16:50:00,0
