date,hour,minute,bdaddr
2022-04-21,4,10,683
2022-04-21,4,15,640
2022-04-21,4,20,669
2022-04-21,4,25,112
2022-04-21,12,5,62
2022-04-21,12,10,887
2022-04-21,12,15,887
2022-04-21,12,20,902
2022-04-21,12,25,795
2022-04-21,12,30,810
2022-04-21,12,35,812
2022-04-21,12,40,800
2022-04-21,12,45,826
2022-04-21,12,50,853
2022-04-21,12,55,790
2022-04-21,13,0,728
2022-04-21,13,5,759
2022-04-21,13,10,801
2022-04-21,13,15,760
2022-04-21,13,20,767
2022-04-21,13,25,691
2022-04-21,13,30,747
2022-04-21,13,35,799
2022-04-21,13,40,825
2022-04-21,13,45,771
2022-04-21,13,50,826
2022-04-21,13,55,829
2022-04-21,14,0,830
2022-04-21,14,5,837
2022-04-21,14,10,880
2022-04-21,14,15,865
2022-04-21,14,20,917
2022-04-21,14,25,879
2022-04-21,14,30,886
2022-04-21,14,35,841
2022-04-21,14,40,874
2022-04-21,14,45,832
2022-04-21,14,50,864
2022-04-21,14,55,797
2022-04-21,15,0,784
2022-04-21,15,5,809
2022-04-21,15,10,872
2022-04-21,15,15,815
2022-04-21,15,20,875
2022-04-21,15,25,818
2022-04-21,15,30,878
2022-04-21,15,35,816
2022-04-21,15,40,863
2022-04-21,15,45,790
2022-04-21,15,50,889
2022-04-21,15,55,832
2022-04-21,16,0,833
2022-04-21,16,5,560
2022-04-21,16,10,136
2022-04-21,16,15,833
2022-04-21,16,20,843
2022-04-21,16,25,813
2022-04-21,16,30,855
2022-04-21,16,35,777
2022-04-21,16,40,782
2022-04-21,16,45,722
2022-04-21,16,50,490
2022-05-21,14,25,620
2022-05-21,14,30,772
2022-05-21,14,35,794
2022-05-21,14,40,841
2022-05-21,14,45,766
2022-05-21,14,50,857
2022-05-21,14,55,663
2022-05-21,15,0,385
2022-05-21,15,5,457
2022-05-21,15,10,415
2022-05-21,15,15,446
2022-05-21,15,20,466
2022-05-21,15,25,460
2022-05-21,15,30,334
2022-05-21,15,35,506
2022-05-21,15,40,477
2022-05-21,15,45,345
2022-05-21,15,55,276
2022-05-21,16,25,30
2022-05-21,16,50,433
2022-05-21,16,55,511
2022-05-21,17,0,417
2022-05-21,17,5,430
2022-05-21,17,10,485
2022-05-21,17,15,364
2022-05-21,17,20,544
2022-05-21,17,25,332
2022-05-21,17,30,468
2022-05-21,17,35,401
2022-05-21,17,40,437
2022-05-21,17,45,479
2022-05-21,17,50,563
2022-05-21,17,55,394
2022-05-21,18,0,389
2022-05-21,18,5,246
2022-05-21,18,10,401
2022-05-21,18,15,383
2022-05-21,18,20,540
2022-05-21,18,25,344
2022-05-21,18,35,240
2022-05-21,18,40,599
2022-05-21,18,45,401
2022-05-21,18,55,44
2022-05-21,19,25,698
2022-05-21,19,30,857
2022-05-21,19,35,556
2022-05-21,19,45,466
2022-05-21,20,0,175
2022-05-21,20,5,701
2022-05-21,20,10,735
2022-05-21,20,15,490
2022-05-21,20,25,615
2022-05-21,20,30,755
2022-05-21,20,35,452
2022-05-28,17,35,471
2022-05-28,17,40,703
2022-05-28,17,45,569
2022-05-28,17,55,352
2022-05-28,18,5,127
2022-05-28,18,45,402
2022-05-28,18,55,10
2022-05-28,19,10,87
2022-05-28,19,55,136
2022-05-28,20,0,456
2022-05-28,21,0,95
2022-05-28,21,5,483
2022-05-28,21,10,335
2022-05-28,21,15,328
2022-05-28,21,20,360
2022-05-28,21,25,382
2022-05-28,21,30,346
2022-05-28,21,35,301
2022-05-28,21,40,294
2022-05-28,21,45,282
2022-05-28,21,50,291
2022-05-28,21,55,353
2022-05-28,22,0,207
2022-05-28,22,5,296
2022-05-28,22,10,228
2022-05-28,22,15,244
2022-05-28,22,20,197
2022-05-28,22,25,207
2022-05-28,22,30,275
2022-05-28,22,35,280
2022-05-28,22,40,197
2022-05-28,22,45,155
2022-05-28,22,50,192
2022-05-28,22,55,238
2022-05-28,23,0,167
2022-05-28,23,5,207
2022-05-28,23,10,200
2022-05-28,23,15,167
2022-05-28,23,20,197
2022-05-28,23,25,184
2022-05-28,23,30,182
2022-05-28,23,35,195
2022-05-28,23,40,174
2022-05-28,23,45,204
2022-05-28,23,50,201
2022-05-28,23,55,201
2022-05-29,0,0,168
2022-05-29,0,5,148
2022-05-29,0,10,205
2022-05-29,0,15,189
2022-05-29,0,20,176
2022-05-29,0,25,181
2022-05-29,0,30,178
2022-05-29,0,35,162
2022-05-29,0,40,161
2022-05-29,0,45,145
2022-05-29,0,50,159
2022-05-29,0,55,137
2022-05-29,1,0,172
2022-05-29,1,5,148
2022-05-29,1,10,144
2022-05-29,1,15,149
2022-05-29,1,20,160
2022-05-29,1,25,156
2022-05-29,1,30,148
2022-05-29,1,35,158
2022-05-29,1,40,164
2022-05-29,1,45,198
2022-05-29,1,50,154
2022-05-29,1,55,148
2022-05-29,2,0,144
2022-05-29,2,5,176
2022-05-29,2,10,160
2022-05-29,2,15,144
2022-05-29,2,20,172
2022-05-29,2,25,164
2022-05-29,2,30,156
2022-05-29,2,35,134
2022-05-29,2,40,151
2022-05-29,2,45,166
2022-05-29,2,50,173
2022-05-29,2,55,170
2022-05-29,3,0,163
2022-05-29,3,5,161
2022-05-29,3,10,165
2022-05-29,3,15,175
2022-05-29,3,20,175
2022-05-29,3,25,150
2022-05-29,3,30,158
2022-05-29,3,35,154
2022-05-29,3,40,151
2022-05-29,3,45,144
2022-05-29,3,50,150
2022-05-29,3,55,145
2022-05-29,4,0,138
2022-05-29,4,5,85
2022-05-29,4,20,104
2022-05-29,4,30,139
2022-05-29,4,35,155
2022-05-29,4,40,153
2022-05-29,4,45,146
2022-05-29,4,50,157
2022-05-29,4,55,98
2022-05-29,5,0,10
2022-05-29,5,5,162
2022-05-29,5,10,153
2022-05-29,5,15,173
2022-05-29,5,20,219
2022-05-29,5,25,232
2022-05-29,5,30,160
2022-05-29,5,35,162
2022-05-29,5,40,164
2022-05-29,5,45,142
2022-05-29,5,50,166
2022-05-29,5,55,145
2022-05-29,6,0,169
2022-05-29,6,5,150
2022-05-29,6,10,166
2022-05-29,6,15,166
2022-05-29,6,20,156
2022-05-29,6,25,146
2022-05-29,6,30,163
2022-05-29,6,35,157
2022-05-29,6,40,165
2022-05-29,6,45,154
2022-05-29,6,50,178
2022-05-29,6,55,154
2022-05-29,7,0,158
2022-05-29,7,5,145
2022-05-29,7,10,136
2022-05-29,7,15,155
2022-05-29,7,20,162
2022-05-29,7,25,166
2022-05-29,7,30,162
2022-05-29,7,35,177
2022-05-29,7,40,204
2022-05-29,7,45,202
2022-05-29,7,50,177
2022-05-29,7,55,164
2022-05-29,8,0,234
2022-05-29,8,5,197
2022-05-29,8,10,204
2022-05-29,8,15,240
2022-05-29,8,20,189
2022-05-29,8,25,173
2022-05-29,8,30,176
2022-05-29,8,35,230
2022-05-29,8,40,289
2022-05-29,8,45,292
2022-05-29,8,50,265
2022-05-29,8,55,200
2022-05-29,9,0,221
2022-05-29,9,5,213
2022-05-29,9,10,227
2022-05-29,9,15,245
2022-05-29,9,20,255
2022-05-29,9,25,231
2022-05-29,9,30,216
2022-05-29,9,35,210
2022-05-29,9,40,224
2022-05-29,9,45,282
2022-05-29,9,50,293
2022-05-29,9,55,227
2022-05-29,10,0,206
2022-05-29,10,5,190
2022-05-29,10,10,217
2022-05-29,10,15,263
2022-05-29,10,20,386
2022-05-29,10,25,348
2022-05-29,10,30,423
2022-05-29,10,35,383
2022-05-29,10,40,457
2022-05-29,10,45,402
2022-05-29,10,50,387
2022-05-29,10,55,442
