date,hour,minute,bdaddr
2022-06-03,18,40,944
2022-06-03,18,45,1007
2022-06-03,18,50,1129
2022-06-03,18,55,1034
2022-06-03,19,0,928
2022-06-03,19,5,979
2022-06-03,19,10,1053
2022-06-03,19,15,1011
2022-06-03,19,20,838
2022-06-03,19,25,900
2022-06-03,19,30,748
2022-06-03,19,35,1045
2022-06-03,19,40,956
2022-06-03,19,45,774
2022-06-03,19,50,1029
2022-06-03,19,55,700
2022-06-03,20,0,721
2022-06-03,20,5,522
2022-06-03,20,10,550
2022-06-03,20,15,137
2022-06-03,20,55,64
2022-06-03,21,0,337
2022-06-03,21,5,709
2022-06-03,21,10,1004
2022-06-03,21,15,832
2022-06-03,21,20,697
2022-06-03,21,25,535
2022-06-03,21,30,470
2022-06-03,21,35,513
2022-06-03,21,40,464
2022-06-03,21,45,449
2022-06-03,21,50,510
2022-06-03,21,55,266
2022-06-03,22,0,282
2022-06-03,22,5,226
2022-06-03,22,10,206
2022-06-03,22,15,281
2022-06-03,22,20,312
2022-06-03,22,25,266
2022-06-03,22,30,185
2022-06-03,22,35,204
2022-06-03,22,40,158
2022-06-03,22,45,194
2022-06-03,22,50,261
2022-06-03,22,55,167
2022-06-03,23,0,119
2022-06-03,23,15,393
2022-06-03,23,25,61
2022-06-03,23,30,523
2022-06-03,23,35,282
2022-06-03,23,40,465
2022-06-03,23,45,61
2022-06-03,23,50,102
2022-06-03,23,55,275
2022-06-04,0,0,261
2022-06-04,0,5,240
2022-06-04,0,10,259
2022-06-04,0,15,195
2022-06-04,0,20,48
2022-06-04,0,25,65
2022-06-04,0,30,229
2022-06-04,0,35,184
2022-06-04,0,40,209
2022-06-04,0,45,199
2022-06-04,0,50,211
2022-06-04,0,55,160
2022-06-04,1,0,152
2022-06-04,1,5,142
2022-06-04,1,10,150
2022-06-04,1,15,136
2022-06-04,1,20,123
2022-06-04,1,25,72
2022-06-04,1,30,99
2022-06-04,1,35,80
2022-06-04,1,40,105
2022-06-04,1,45,88
2022-06-04,1,50,90
2022-06-04,1,55,94
2022-06-04,2,0,88
2022-06-04,2,5,108
2022-06-04,2,10,87
2022-06-04,2,15,71
2022-06-04,2,20,149
2022-06-04,2,25,57
2022-06-04,2,30,28
2022-06-04,2,40,19
2022-06-04,2,45,79
2022-06-04,2,50,132
2022-06-04,3,0,47
2022-06-04,3,5,109
2022-06-04,3,10,7
2022-06-04,3,15,27
2022-06-04,3,20,120
2022-06-04,3,30,21
2022-06-04,3,35,227
2022-06-04,3,40,11
2022-06-04,3,45,18
2022-06-04,3,50,107
2022-06-04,3,55,14
2022-06-04,4,15,96
2022-06-04,4,20,154
2022-06-04,4,25,51
2022-06-04,4,30,90
2022-06-04,4,35,79
2022-06-04,4,40,51
2022-06-04,4,45,13
2022-06-04,4,50,108
2022-06-04,4,55,113
2022-06-04,5,0,34
2022-06-04,6,0,33
2022-06-04,6,5,120
2022-06-04,6,10,100
2022-06-04,6,20,44
2022-06-04,6,25,97
2022-06-04,6,35,57
2022-06-04,6,40,108
2022-06-04,6,50,145
2022-06-04,6,55,186
2022-06-04,7,0,201
2022-06-04,7,5,112
2022-06-04,7,10,107
2022-06-04,7,15,153
2022-06-04,7,20,171
2022-06-04,7,25,205
2022-06-04,7,30,264
2022-06-04,7,35,203
2022-06-04,7,40,395
2022-06-04,7,45,404
2022-06-04,7,50,279
2022-06-04,7,55,267
2022-06-04,8,0,274
2022-06-04,8,5,236
2022-06-04,8,10,352
2022-06-04,8,15,269
2022-06-04,8,20,521
2022-06-04,8,25,574
2022-06-04,8,30,621
2022-06-04,8,35,576
2022-06-04,8,40,465
2022-06-04,8,45,537
2022-06-04,8,50,730
2022-06-04,8,55,617
2022-06-04,9,0,595
2022-06-04,9,5,511
2022-06-04,9,10,508
2022-06-04,9,15,573
2022-06-04,9,20,594
2022-06-04,9,25,782
2022-06-04,9,30,787
2022-06-04,9,35,673
2022-06-04,9,40,622
2022-06-04,9,45,772
2022-06-04,9,50,693
2022-06-04,9,55,802
2022-06-04,10,0,632
2022-06-04,10,5,550
2022-06-04,10,10,576
2022-06-04,10,15,729
2022-06-04,10,20,972
2022-06-04,10,25,996
2022-06-04,10,30,1027
2022-06-04,10,35,1039
2022-06-04,10,40,934
2022-06-04,10,45,809
2022-06-04,10,50,950
2022-06-04,10,55,1228
2022-06-04,11,0,755
2022-06-04,11,5,831
2022-06-04,11,10,807
2022-06-04,11,15,718
2022-06-04,11,20,949
2022-06-04,11,25,971
2022-06-04,11,30,878
2022-06-04,11,35,759
2022-06-04,11,40,896
2022-06-04,11,45,749
2022-06-04,11,50,1151
2022-06-04,11,55,885
2022-06-04,12,0,815
2022-06-04,12,5,770
2022-06-04,12,10,805
2022-06-04,12,15,601
2022-06-04,12,20,973
2022-06-04,12,25,1000
2022-06-04,12,30,1110
2022-06-04,12,35,931
2022-06-04,12,40,1027
2022-06-04,12,45,968
2022-06-04,12,50,944
2022-06-04,12,55,946
2022-06-04,13,0,926
2022-06-04,13,5,806
2022-06-04,13,10,886
2022-06-04,13,15,860
2022-06-04,13,20,1066
2022-06-04,13,25,1290
2022-06-04,13,30,1110
2022-06-04,13,35,1135
2022-06-04,13,40,1200
2022-06-04,13,45,1187
2022-06-04,13,50,1174
2022-06-04,13,55,980
2022-06-04,14,0,955
2022-06-04,14,5,1116
2022-06-04,14,10,1190
2022-06-04,14,15,987
2022-06-04,14,20,1364
2022-06-04,14,25,1183
2022-06-04,14,30,1119
2022-06-04,14,35,1226
2022-06-04,14,40,1418
2022-06-04,14,45,1379
2022-06-04,14,50,1311
2022-06-04,14,55,1232
2022-06-04,15,0,1052
2022-06-04,15,5,938
2022-06-04,15,10,1078
2022-06-04,15,15,1069
2022-06-04,15,20,1046
2022-06-04,15,25,974
2022-06-04,15,30,831
2022-06-04,15,35,1117
2022-06-04,15,40,1003
2022-06-04,15,45,908
2022-06-04,15,50,871
2022-06-04,15,55,884
2022-06-04,16,0,772
2022-06-04,16,5,843
2022-06-04,16,10,813
2022-06-04,16,15,866
2022-06-04,16,20,960
2022-06-04,16,25,813
2022-06-04,16,30,756
2022-06-04,16,35,1044
2022-06-04,16,40,863
2022-06-04,16,45,905
2022-06-04,16,50,1088
2022-06-04,16,55,885
2022-06-04,17,0,841
2022-06-04,17,5,704
2022-06-04,17,10,744
2022-06-04,17,15,829
2022-06-04,17,20,1273
2022-06-04,17,25,1223
2022-06-04,17,30,910
2022-06-04,17,35,834
2022-06-04,17,40,772
2022-06-04,17,45,918
2022-06-04,17,50,878
2022-06-04,17,55,604
2022-06-04,18,0,633
2022-06-04,18,5,781
2022-06-04,18,10,718
2022-06-04,18,15,665
2022-06-04,18,20,813
2022-06-04,18,25,652
2022-06-04,18,30,892
2022-06-04,18,35,877
2022-06-04,18,40,993
2022-06-04,18,45,802
2022-06-04,18,50,704
2022-06-04,18,55,664
2022-06-04,19,0,632
2022-06-04,19,5,677
2022-06-04,19,10,743
2022-06-04,19,15,668
2022-06-04,19,20,832
2022-06-04,19,25,619
2022-06-04,19,30,712
2022-06-04,19,35,439
2022-06-04,19,40,576
2022-06-04,19,45,640
2022-06-04,19,50,662
2022-06-04,19,55,548
2022-06-04,20,0,511
2022-06-04,20,5,299
2022-06-04,20,10,360
2022-06-04,20,15,404
2022-06-04,20,20,368
2022-06-04,20,25,396
2022-06-04,20,30,451
2022-06-04,20,35,413
2022-06-04,20,40,589
2022-06-04,20,45,410
2022-06-04,20,50,471
2022-06-04,20,55,470
2022-06-04,21,0,430
2022-06-04,21,5,507
2022-06-04,21,10,387
2022-06-04,21,15,399
2022-06-04,21,20,494
2022-06-04,21,25,481
2022-06-04,21,30,502
2022-06-04,21,35,495
2022-06-04,21,40,512
2022-06-04,21,45,446
2022-06-04,21,50,415
2022-06-04,21,55,385
2022-06-04,22,0,269
2022-06-04,22,5,274
2022-06-04,22,10,285
2022-06-04,22,15,320
2022-06-04,22,20,225
2022-06-04,22,25,387
2022-06-04,22,30,457
2022-06-04,22,35,344
2022-06-04,22,40,294
2022-06-04,22,45,362
2022-06-04,22,50,255
2022-06-04,22,55,341
2022-06-04,23,0,319
2022-06-04,23,5,314
2022-06-04,23,10,213
2022-06-04,23,15,294
2022-06-04,23,20,278
2022-06-04,23,25,311
2022-06-04,23,30,282
2022-06-04,23,35,339
2022-06-04,23,40,301
2022-06-04,23,45,290
2022-06-04,23,50,261
2022-06-04,23,55,161
2022-06-05,0,0,135
2022-06-05,0,5,210
2022-06-05,0,10,160
2022-06-05,0,15,178
2022-06-05,0,20,252
2022-06-05,0,25,352
2022-06-05,0,30,364
2022-06-05,0,35,243
2022-06-05,0,40,216
2022-06-05,0,45,130
2022-06-05,0,50,156
2022-06-05,0,55,187
2022-06-05,1,0,135
2022-06-05,1,5,116
2022-06-05,1,10,108
2022-06-05,1,15,167
2022-06-05,1,20,235
2022-06-05,1,25,276
2022-06-05,1,30,201
2022-06-05,1,35,152
2022-06-05,1,40,116
2022-06-05,1,45,137
2022-06-05,1,50,119
2022-06-05,1,55,126
2022-06-05,2,0,104
2022-06-05,2,5,89
2022-06-05,2,10,88
2022-06-05,2,15,122
2022-06-05,2,20,180
2022-06-05,2,25,128
2022-06-05,2,30,130
2022-06-05,2,35,116
2022-06-05,2,40,173
2022-06-05,2,45,113
2022-06-05,2,50,122
2022-06-05,2,55,81
2022-06-05,3,0,88
2022-06-05,3,5,69
2022-06-05,3,15,90
2022-06-05,3,20,115
2022-06-05,3,25,140
2022-06-05,3,30,125
2022-06-05,3,35,101
2022-06-05,3,40,124
2022-06-05,3,45,102
2022-06-05,3,50,111
2022-06-05,3,55,118
2022-06-05,4,0,128
2022-06-05,4,5,98
2022-06-05,4,10,103
2022-06-05,4,15,114
2022-06-05,4,20,124
2022-06-05,4,25,151
2022-06-05,4,30,87
2022-06-05,4,35,96
2022-06-05,4,40,138
2022-06-05,4,45,207
2022-06-05,4,50,176
2022-06-05,4,55,131
2022-06-05,5,0,100
2022-06-05,5,5,90
2022-06-05,5,10,86
2022-06-05,5,15,91
2022-06-05,5,20,113
2022-06-05,5,25,98
2022-06-05,5,30,133
2022-06-05,5,35,206
2022-06-05,5,40,126
2022-06-05,5,45,141
2022-06-05,5,50,127
2022-06-05,5,55,120
2022-06-05,6,0,83
2022-06-05,6,5,77
2022-06-05,6,10,67
2022-06-05,6,15,112
2022-06-05,6,20,142
2022-06-05,6,25,145
2022-06-05,6,30,166
2022-06-05,6,35,211
2022-06-05,6,40,128
2022-06-05,6,45,190
2022-06-05,6,50,211
2022-06-05,6,55,169
2022-06-05,7,0,127
2022-06-05,7,5,167
2022-06-05,7,10,127
2022-06-05,7,15,187
2022-06-05,7,20,221
2022-06-05,7,25,245
2022-06-05,7,30,206
2022-06-05,7,35,217
2022-06-05,7,40,266
2022-06-05,7,45,256
2022-06-05,7,50,183
2022-06-05,7,55,316
2022-06-05,8,0,239
2022-06-05,8,5,168
2022-06-05,8,10,269
2022-06-05,8,15,267
2022-06-05,8,20,251
2022-06-05,8,25,448
2022-06-05,8,30,352
2022-06-05,8,35,355
2022-06-05,8,40,396
2022-06-05,8,45,328
2022-06-05,8,50,427
2022-06-05,8,55,359
2022-06-05,9,0,275
2022-06-05,9,5,239
2022-06-05,9,10,399
2022-06-05,9,15,429
2022-06-05,9,20,503
2022-06-05,9,25,615
2022-06-05,9,30,556
2022-06-05,9,35,540
2022-06-05,9,40,474
2022-06-05,9,45,533
2022-06-05,9,50,488
2022-06-05,9,55,428
2022-06-05,10,0,511
2022-06-05,10,5,426
2022-06-05,10,10,444
2022-06-05,10,15,623
2022-06-05,10,20,860
2022-06-05,10,25,652
2022-06-05,10,30,662
2022-06-05,10,35,633
2022-06-05,10,40,655
2022-06-05,10,45,619
2022-06-05,10,50,733
2022-06-05,10,55,524
2022-06-05,11,0,564
2022-06-05,11,5,601
2022-06-05,11,10,603
2022-06-05,11,15,525
2022-06-05,11,20,1143
2022-06-05,11,25,1375
2022-06-05,11,30,1606
2022-06-05,11,35,1788
2022-06-05,11,40,2060
2022-06-05,11,45,1767
2022-06-05,11,50,1199
2022-06-05,11,55,796
2022-06-05,12,0,721
2022-06-05,12,5,549
2022-06-05,12,10,653
2022-06-05,12,15,789
2022-06-05,12,20,813
2022-06-05,12,25,702
2022-06-05,12,30,980
2022-06-05,12,35,868
2022-06-05,12,40,867
2022-06-05,12,45,1022
2022-06-05,12,50,720
2022-06-05,12,55,580
2022-06-05,13,0,631
2022-06-05,13,5,797
2022-06-05,13,10,645
2022-06-05,13,15,561
2022-06-05,13,20,803
2022-06-05,13,25,817
2022-06-05,13,30,623
2022-06-05,13,35,793
2022-06-05,13,40,955
2022-06-05,13,45,963
2022-06-05,13,50,860
2022-06-05,13,55,945
2022-06-05,14,0,1129
2022-06-05,14,5,1048
2022-06-05,14,10,795
2022-06-05,14,15,641
2022-06-05,14,20,1009
2022-06-05,14,25,1083
2022-06-05,14,30,1020
2022-06-05,14,35,1065
2022-06-05,14,40,931
2022-06-05,14,45,862
2022-06-05,14,50,763
2022-06-05,14,55,878
2022-06-05,15,0,770
2022-06-05,15,5,1095
2022-06-05,15,10,986
2022-06-05,15,15,896
2022-06-05,15,20,1092
2022-06-05,15,25,882
2022-06-05,15,30,916
2022-06-05,15,35,807
2022-06-05,15,40,940
2022-06-05,15,45,827
2022-06-05,15,50,785
2022-06-05,15,55,755
2022-06-05,16,0,600
2022-06-05,16,5,850
2022-06-05,16,10,630
2022-06-05,16,15,647
2022-06-05,16,20,681
2022-06-05,16,25,723
2022-06-05,16,30,762
2022-06-05,16,35,890
2022-06-05,16,40,905
2022-06-05,16,45,963
2022-06-05,16,50,905
2022-06-05,16,55,854
2022-06-05,17,0,497
2022-06-05,17,5,684
2022-06-05,17,10,660
2022-06-05,17,15,544
2022-06-05,17,20,854
2022-06-05,17,25,717
2022-06-05,17,30,867
2022-06-05,17,35,945
2022-06-05,17,40,893
2022-06-05,17,45,767
2022-06-05,17,50,851
2022-06-05,17,55,601
2022-06-05,18,0,529
2022-06-05,18,5,462
2022-06-05,18,10,417
2022-06-05,18,15,630
2022-06-05,18,20,678
2022-06-05,18,25,478
2022-06-05,18,30,647
2022-06-05,18,35,628
2022-06-05,18,40,747
2022-06-05,18,45,461
2022-06-05,18,50,476
2022-06-05,18,55,402
2022-06-05,19,0,346
2022-06-05,19,5,414
2022-06-05,19,10,410
2022-06-05,19,15,509
2022-06-05,19,20,717
2022-06-05,19,25,548
2022-06-05,19,30,527
2022-06-05,19,35,464
2022-06-05,19,40,594
2022-06-05,19,45,567
2022-06-05,19,50,556
2022-06-05,19,55,416
2022-06-05,20,0,397
2022-06-05,20,5,296
2022-06-05,20,10,332
2022-06-05,20,15,390
2022-06-05,20,20,461
2022-06-05,20,25,426
2022-06-05,20,30,414
2022-06-05,20,35,445
2022-06-05,20,40,549
2022-06-05,20,45,335
2022-06-05,20,50,492
2022-06-05,20,55,256
2022-06-05,21,0,301
2022-06-05,21,5,237
2022-06-05,21,10,354
2022-06-05,21,15,381
2022-06-05,21,20,526
2022-06-05,21,25,375
2022-06-05,21,30,420
2022-06-05,21,35,384
2022-06-05,21,40,380
2022-06-05,21,45,400
2022-06-05,21,50,313
2022-06-05,21,55,324
2022-06-05,22,0,223
2022-06-05,22,5,247
2022-06-05,22,10,273
2022-06-05,22,15,202
2022-06-05,22,20,365
2022-06-05,22,25,288
