date,hour,minute,bdaddr
2022-05-14,14,5,1466
2022-05-14,14,10,1818
2022-05-14,14,15,1853
2022-05-14,14,20,2058
2022-05-14,14,25,1633
2022-05-14,14,30,2267
2022-05-14,14,35,2230
2022-05-14,14,40,1897
2022-05-14,14,45,1913
2022-05-14,14,50,1762
2022-05-14,14,55,1693
2022-05-14,15,0,1359
2022-05-14,15,5,2036
2022-05-14,15,10,2021
2022-05-14,15,15,1908
2022-05-14,15,20,1873
2022-05-14,15,25,1814
2022-05-14,15,30,1816
2022-05-14,15,35,1710
2022-05-14,15,40,1446
2022-05-14,15,45,1671
2022-05-14,15,50,1836
2022-05-14,15,55,1840
2022-05-14,16,0,1623
2022-05-14,16,5,2121
2022-05-14,16,10,1935
2022-05-14,16,15,2194
2022-05-14,16,20,1996
2022-05-14,16,25,1725
2022-05-14,16,30,1775
2022-05-14,16,35,1822
2022-05-14,16,40,1550
2022-05-14,16,45,1770
2022-05-14,16,50,2062
2022-05-14,16,55,2199
2022-05-14,17,0,1830
2022-05-14,17,5,1986
2022-05-14,17,10,1918
2022-05-14,17,15,2079
2022-05-14,17,20,2328
2022-05-14,17,25,1792
2022-05-14,17,30,1918
2022-05-14,17,35,1781
2022-05-14,17,40,1909
2022-05-14,17,45,2045
2022-05-14,17,50,2682
2022-05-14,17,55,2009
2022-05-14,18,0,1839
2022-05-14,18,5,1923
2022-05-14,18,10,640
2022-05-14,18,15,774
2022-05-14,18,20,1911
2022-05-14,18,25,1809
2022-05-14,18,30,1828
2022-05-14,18,35,1458
2022-05-14,18,40,1722
2022-05-14,18,45,1859
2022-05-14,18,50,1787
2022-05-14,18,55,1858
2022-05-14,19,0,1430
2022-05-14,19,5,1647
2022-05-14,19,10,1646
2022-05-14,19,15,1426
2022-05-14,19,20,1881
2022-05-14,19,25,1869
2022-05-14,19,30,1784
2022-05-14,19,35,1294
2022-05-14,19,40,1425
2022-05-14,19,45,1726
2022-05-14,19,50,1595
2022-05-14,19,55,1637
2022-05-14,20,0,1462
2022-05-14,20,5,1506
2022-05-14,20,10,1587
2022-05-14,20,15,1264
2022-05-14,20,20,1073
2022-05-14,20,25,1177
2022-05-14,20,30,1171
2022-05-14,20,35,1074
2022-05-14,20,40,1211
2022-05-14,20,45,1414
2022-05-14,20,50,976
2022-05-14,20,55,1063
2022-05-14,21,0,1153
2022-05-14,21,5,1097
2022-05-14,21,10,855
2022-05-14,21,15,1106
2022-05-14,21,20,1078
2022-05-14,21,25,887
2022-05-14,21,30,897
2022-05-14,21,35,840
2022-05-14,21,40,695
2022-05-14,21,45,850
2022-05-14,21,50,817
2022-05-14,21,55,754
2022-05-14,22,0,848
2022-05-14,22,5,785
2022-05-14,22,10,1097
2022-05-14,22,15,709
2022-05-14,22,20,899
2022-05-14,22,25,780
2022-05-14,22,30,906
2022-05-14,22,35,739
2022-05-14,22,40,669
2022-05-14,22,45,934
2022-05-14,22,50,838
2022-05-14,22,55,833
2022-05-14,23,0,599
2022-05-14,23,5,607
2022-05-14,23,10,757
2022-05-14,23,15,584
2022-05-14,23,20,706
2022-05-14,23,25,520
2022-05-14,23,30,616
2022-05-14,23,35,542
2022-05-14,23,40,645
2022-05-14,23,45,687
2022-05-14,23,50,611
2022-05-14,23,55,620
2022-05-15,0,0,625
2022-05-15,0,5,508
2022-05-15,0,10,651
2022-05-15,0,15,380
2022-05-15,0,20,492
2022-05-15,0,25,456
2022-05-15,0,30,473
2022-05-15,0,35,351
2022-05-15,0,40,454
2022-05-15,0,45,436
2022-05-15,0,50,374
2022-05-15,0,55,447
2022-05-15,1,0,362
2022-05-15,1,5,381
2022-05-15,1,10,371
2022-05-15,1,15,319
2022-05-15,1,20,304
2022-05-15,1,25,281
2022-05-15,1,30,239
2022-05-15,1,35,299
2022-05-15,1,40,240
2022-05-15,1,45,167
2022-05-15,1,50,163
2022-05-15,1,55,228
2022-05-15,2,0,199
2022-05-15,2,5,147
2022-05-15,2,10,269
2022-05-15,2,15,280
2022-05-15,2,20,229
2022-05-15,2,25,174
2022-05-15,2,30,178
2022-05-15,2,35,150
2022-05-15,2,40,171
2022-05-15,2,45,221
2022-05-15,2,50,176
2022-05-15,2,55,147
2022-05-15,3,0,119
2022-05-15,3,5,209
2022-05-15,3,10,174
2022-05-15,3,15,143
2022-05-15,3,20,144
2022-05-15,3,25,128
2022-05-15,3,30,177
2022-05-15,3,35,150
2022-05-15,3,40,143
2022-05-15,3,45,145
2022-05-15,3,50,135
2022-05-15,3,55,132
2022-05-15,4,0,136
2022-05-15,4,5,98
2022-05-15,4,10,14
2022-05-15,4,15,114
2022-05-15,4,20,133
2022-05-15,4,25,133
2022-05-15,4,30,267
2022-05-15,4,35,121
2022-05-15,4,40,138
2022-05-15,4,45,118
2022-05-15,4,50,131
2022-05-15,4,55,145
2022-05-15,5,0,180
2022-05-15,5,5,166
2022-05-15,5,10,276
