datetime,temperature,precipitation,weather
2022/10/1 1:00:00,17.2,0,
2022/10/1 2:00:00,16.6,0,
2022/10/1 3:00:00,15.2,0,8
2022/10/1 4:00:00,15.3,0,
2022/10/1 5:00:00,15.2,0,
2022/10/1 6:00:00,15.3,0,8
2022/10/1 7:00:00,15.3,0.0,
2022/10/1 8:00:00,16.5,0.0,
2022/10/1 9:00:00,19.6,0,1
2022/10/1 10:00:00,22.3,0,
2022/10/1 11:00:00,24.4,0,
2022/10/1 12:00:00,25.4,0,1
2022/10/1 13:00:00,26.1,0,
2022/10/1 14:00:00,25.3,0,
2022/10/1 15:00:00,24.5,0,1
2022/10/1 16:00:00,23.7,0,
2022/10/1 17:00:00,22.5,0,
2022/10/1 18:00:00,21.4,0,1
2022/10/1 19:00:00,21.1,0,
2022/10/1 20:00:00,20.8,0,
2022/10/1 21:00:00,20.2,0,1
2022/10/1 22:00:00,20.0,0,
2022/10/1 23:00:00,18.6,0,
2022/10/2 00:00:00,18.3,0,
2022/10/2 1:00:00,17.8,0,
2022/10/2 2:00:00,17.6,0,
2022/10/2 3:00:00,17.9,0,1
2022/10/2 4:00:00,17.4,0,
2022/10/2 5:00:00,17.0,0,
2022/10/2 6:00:00,16.2,0,1
2022/10/2 7:00:00,17.7,0,
2022/10/2 8:00:00,19.8,0,
2022/10/2 9:00:00,21.4,0,1
2022/10/2 10:00:00,23.7,0,
2022/10/2 11:00:00,25.7,0,
2022/10/2 12:00:00,25.8,0,1
2022/10/2 13:00:00,24.8,0,
2022/10/2 14:00:00,24.9,0,
2022/10/2 15:00:00,24.1,0,2
2022/10/2 16:00:00,23.1,0,
2022/10/2 17:00:00,22.0,0,
2022/10/2 18:00:00,20.9,0,3
2022/10/2 19:00:00,20.3,0,
2022/10/2 20:00:00,20.7,0,
2022/10/2 21:00:00,20.3,0,3
2022/10/2 22:00:00,19.5,0,
2022/10/2 23:00:00,19.5,0,
2022/10/3 00:00:00,20.2,0,
2022/10/3 1:00:00,19.9,0,
2022/10/3 2:00:00,19.8,0,
2022/10/3 3:00:00,19.8,0,4
2022/10/3 4:00:00,19.9,0,
2022/10/3 5:00:00,19.9,0.0,
2022/10/3 6:00:00,19.7,0,4
2022/10/3 7:00:00,20.2,0,
2022/10/3 8:00:00,21.7,0,
2022/10/3 9:00:00,21.6,0,4
2022/10/3 10:00:00,22.8,0,
2022/10/3 11:00:00,23.4,0,
2022/10/3 12:00:00,23.8,0,3
2022/10/3 13:00:00,23.8,0,
2022/10/3 14:00:00,22.8,0,
2022/10/3 15:00:00,23.0,0,4
2022/10/3 16:00:00,22.1,0,
2022/10/3 17:00:00,21.6,0,
2022/10/3 18:00:00,21.5,0,4
2022/10/3 19:00:00,21.6,0,
2022/10/3 20:00:00,21.5,0,
2022/10/3 21:00:00,21.6,0.0,10
