date,hour,bdaddr
2022-04-20,11,756
2022-04-20,12,514
2022-04-20,19,1301
2022-04-20,20,3714
2022-04-25,18,4989
2022-04-25,19,11393
2022-04-25,20,6280
2022-04-25,21,2903
2022-04-25,22,2953
2022-04-25,23,1023
2022-04-26,0,623
2022-04-26,1,322
2022-04-26,2,193
2022-04-26,3,170
2022-04-26,4,150
2022-04-26,5,406
2022-04-26,6,1186
2022-04-26,7,4932
2022-04-26,8,11998
2022-04-26,9,11416
2022-04-26,10,9795
2022-04-26,11,9565
2022-04-26,12,10125
2022-04-26,13,11028
2022-04-26,14,9500
2022-04-26,15,11010
2022-04-26,16,8197
2022-04-26,17,11939
2022-04-26,18,11097
2022-04-26,19,10612
2022-04-26,20,6111
2022-04-26,21,3291
2022-04-26,22,2192
2022-04-26,23,1315
2022-04-27,0,295
2022-04-27,1,308
2022-04-27,2,289
2022-04-27,3,97
2022-04-27,4,63
2022-04-27,5,554
2022-04-27,6,998
2022-04-27,7,4398
2022-04-27,8,8954
2022-04-27,9,12163
2022-04-27,10,11440
2022-04-27,11,10899
2022-04-27,12,12350
2022-04-27,13,10849
2022-04-27,14,9512
2022-04-27,15,10700
2022-04-27,16,10968
2022-04-27,17,12890
2022-04-27,18,12801
2022-04-27,19,10521
2022-04-27,20,5635
2022-04-27,21,3436
2022-04-27,22,1878
2022-04-27,23,1500
2022-04-28,0,721
2022-04-28,1,497
2022-04-28,2,202
2022-04-28,3,230
2022-04-28,4,360
2022-04-28,5,1084
2022-04-28,6,1273
2022-04-28,7,4373
2022-04-28,8,10907
2022-04-28,9,12091
2022-04-28,10,11630
2022-04-28,11,12307
2022-04-28,12,13965
2022-04-28,13,13531
2022-04-28,14,13349
2022-04-28,15,12728
2022-04-28,16,11937
2022-04-28,17,13250
2022-04-28,18,14390
2022-04-28,19,13941
2022-04-28,20,8548
2022-04-28,21,4794
2022-04-28,22,2877
2022-04-28,23,1887
2022-04-29,0,1638
2022-04-29,1,540
2022-04-29,2,458
2022-04-29,3,370
2022-04-29,4,153
2022-04-29,5,705
2022-04-29,6,754
2022-04-29,7,2675
2022-04-29,8,3665
2022-04-29,9,7424
2022-04-29,10,6481
2022-04-29,11,7032
2022-04-29,12,7285
2022-04-29,13,8117
2022-04-29,14,6844
2022-04-29,15,6232
2022-04-29,16,7162
2022-04-29,17,5751
2022-04-29,18,7958
2022-04-29,19,7088
2022-04-29,20,4576
2022-04-29,21,2271
2022-04-29,22,1349
2022-04-29,23,1090
2022-04-30,0,557
2022-04-30,1,303
2022-04-30,2,275
2022-04-30,3,223
2022-04-30,4,108
2022-04-30,5,528
2022-04-30,6,900
2022-04-30,7,2713
2022-04-30,8,4507
2022-04-30,9,8721
2022-04-30,10,7229
2022-04-30,11,8174
2022-04-30,12,9116
2022-04-30,13,10041
2022-04-30,14,11755
2022-04-30,15,9766
2022-04-30,16,9928
2022-04-30,17,9071
2022-04-30,18,8143
2022-04-30,19,9232
2022-04-30,20,5977
2022-04-30,21,3325
2022-04-30,22,2856
2022-04-30,23,1692
2022-05-01,0,770
2022-05-01,1,560
2022-05-01,2,495
2022-05-01,3,687
2022-05-01,4,375
2022-05-01,5,602
2022-05-01,6,934
2022-05-01,7,1939
2022-05-01,8,3484
2022-05-01,9,6396
2022-05-01,10,6731
2022-05-01,11,6379
2022-05-01,12,6712
2022-05-01,13,6823
2022-05-01,14,6522
2022-05-01,15,6458
2022-05-01,16,5533
2022-05-01,17,5569
2022-05-01,18,6242
2022-05-01,19,6330
2022-05-01,20,4583
2022-05-01,21,2014
2022-05-01,22,1151
2022-05-01,23,1026
2022-05-02,0,448
2022-05-02,1,358
2022-05-02,2,223
2022-05-02,3,195
2022-05-02,4,288
2022-05-02,5,258
2022-05-02,6,588
2022-05-02,7,2348
2022-05-02,8,7302
2022-05-02,9,9561
2022-05-02,10,8745
2022-05-02,11,9460
2022-05-02,12,11281
2022-05-02,13,11023
2022-05-02,14,10670
2022-05-02,15,9999
2022-05-02,16,10587
2022-05-02,17,11840
2022-05-02,18,10807
2022-05-02,19,8860
2022-05-02,20,6040
2022-05-02,21,3506
2022-05-02,22,2504
2022-05-02,23,1649
2022-05-03,0,710
2022-05-03,1,675
2022-05-03,2,429
2022-05-03,3,233
2022-05-03,4,176
2022-05-03,5,616
2022-05-03,6,792
2022-05-03,7,2498
2022-05-03,8,4024
2022-05-03,9,6954
2022-05-03,10,7026
2022-05-03,11,7348
2022-05-03,12,7570
2022-05-03,13,8037
2022-05-03,14,10758
2022-05-03,15,10473
2022-05-03,16,9844
2022-05-03,17,8715
2022-05-03,18,9545
2022-05-03,19,9485
2022-05-03,20,6367
2022-05-03,21,3917
2022-05-03,22,2026
2022-05-03,23,1602
2022-05-04,0,808
2022-05-04,1,408
2022-05-04,2,363
2022-05-04,3,264
2022-05-04,4,689
2022-05-04,5,584
2022-05-04,6,780
2022-05-04,7,2574
2022-05-04,8,3695
2022-05-04,9,5982
2022-05-04,10,6544
2022-05-04,11,7238
2022-05-04,12,7970
2022-05-04,13,8644
2022-05-04,14,9293
2022-05-04,15,9816
2022-05-04,16,8502
2022-05-04,17,9286
2022-05-04,18,8234
2022-05-04,19,10018
2022-05-04,20,7499
2022-05-04,21,3613
2022-05-04,22,2488
2022-05-04,23,1912
2022-05-05,0,829
2022-05-05,1,663
2022-05-05,2,670
