date,hour,bdaddr
2022-05-19,21,3574
2022-05-19,22,3935
2022-05-19,23,778
2022-05-20,0,1703
2022-05-20,1,979
2022-05-20,2,462
2022-05-20,3,1717
2022-05-20,4,2287
2022-05-20,5,1162
2022-05-20,6,10894
2022-05-20,7,12378
2022-05-20,8,7145
2022-05-20,9,5100
2022-05-20,10,4999
2022-05-20,11,11331
2022-05-20,12,3173
2022-05-20,13,13618
2022-05-20,14,10638
2022-05-20,15,16597
2022-05-20,16,4023
2022-05-20,17,9221
2022-05-20,18,5580
2022-05-20,19,1976
2022-05-20,20,2587
2022-05-20,21,1971
2022-05-20,22,1937
2022-05-20,23,2106
2022-05-21,0,424
2022-05-21,1,596
2022-05-21,2,4693
2022-05-21,3,742
2022-05-21,4,4280
2022-05-21,5,5610
2022-05-21,6,11840
2022-05-21,7,11823
2022-05-21,8,19453
2022-05-21,9,18185
2022-05-21,10,5242
2022-05-21,11,8006
2022-05-21,12,5830
2022-05-21,13,1671
2022-05-21,20,3644
2022-05-21,21,3530
2022-05-21,22,2393
2022-05-21,23,1704
2022-05-22,0,1308
2022-05-22,1,1191
2022-05-22,2,2048
2022-05-22,3,1444
2022-05-22,4,546
2022-05-22,5,2187
2022-05-22,6,2081
2022-05-22,7,7109
2022-05-22,8,6741
2022-05-22,9,6347
2022-05-22,10,12763
2022-05-22,11,3450
2022-05-22,12,3403
2022-05-22,13,5361
2022-05-22,14,7837
2022-05-22,15,9840
2022-05-22,16,8545
2022-05-22,17,2023
2022-05-22,18,2755
2022-05-22,19,1751
2022-05-22,20,2073
2022-05-22,21,2451
2022-05-22,22,1563
2022-05-22,23,1738
2022-05-23,0,1353
2022-05-23,1,1950
2022-05-23,2,2318
2022-05-23,3,883
2022-05-23,4,7363
2022-05-23,5,7209
2022-05-23,6,10484
2022-05-23,7,4572
2022-05-23,8,10131
2022-05-23,9,5084
2022-05-23,10,9092
2022-05-23,11,6963
2022-05-23,12,2524
2022-05-23,13,6659
2022-05-23,14,4158
2022-05-23,15,487
2022-05-23,16,1079
2022-05-23,17,2463
2022-05-23,18,1653
2022-05-23,19,1138
2022-05-23,20,1117
2022-05-23,21,1054
2022-05-23,22,3121
2022-05-23,23,6632
2022-05-24,0,10113
2022-05-24,1,471
2022-05-24,2,13178
2022-05-24,3,2832
2022-05-24,4,9362
2022-05-24,5,13553
2022-05-24,6,7329
2022-05-24,7,13675
2022-05-24,8,13696
2022-05-24,9,5648
2022-05-24,10,6315
2022-05-24,11,3543
2022-05-24,12,511
2022-05-24,13,1741
2022-05-24,14,1409
2022-05-24,15,1839
2022-05-24,16,441
2022-05-24,17,1480
2022-05-24,18,338
2022-05-24,19,3432
2022-05-24,20,7326
2022-05-24,21,976
2022-05-24,22,7341
2022-05-24,23,12602
2022-05-25,0,12883
2022-05-25,1,8767
2022-05-25,2,9710
2022-05-25,3,13132
2022-05-25,4,11238
2022-05-25,5,4621
2022-05-25,6,8744
2022-05-25,7,5234
2022-05-25,8,1509
2022-05-25,9,1362
2022-05-25,10,1695
2022-05-25,11,1883
2022-05-25,12,224
2022-05-25,13,1430
2022-05-25,14,1397
2022-05-25,15,3599
2022-05-25,16,5652
2022-05-25,17,3563
2022-05-25,18,9963
2022-05-25,19,5808
2022-05-25,20,6978
2022-05-25,21,15428
2022-05-25,22,17044
2022-05-25,23,12098
2022-05-26,0,1838
2022-05-26,17,21974
2022-05-26,18,26367
2022-05-26,19,23098
2022-05-26,20,17707
2022-05-26,21,10389
2022-05-26,22,7952
2022-05-26,23,8145
2022-05-27,0,6086
2022-05-27,1,5404
2022-05-27,2,4978
2022-05-27,3,4505
2022-05-27,4,3583
2022-05-27,5,4510
2022-05-27,6,6312
2022-05-27,7,11716
2022-05-27,8,16522
2022-05-27,9,18918
2022-05-27,10,20049
2022-05-27,11,19956
2022-05-27,12,21418
2022-05-27,13,21321
2022-05-27,14,20007
2022-05-27,15,19577
2022-05-27,16,18751
2022-05-27,17,20840
2022-05-27,18,22772
2022-05-27,19,21798
2022-05-27,20,15524
2022-05-27,21,12913
2022-05-27,22,11258
2022-05-27,23,8154
2022-05-28,0,5938
2022-05-28,1,5593
2022-05-28,2,4622
2022-05-28,3,3948
2022-05-28,4,3608
2022-05-28,5,4248
2022-05-28,6,4773
2022-05-28,7,7167
2022-05-28,8,12056
2022-05-28,9,16308
2022-05-28,10,19894
2022-05-28,11,23137
2022-05-28,12,25803
2022-05-28,13,25801
2022-05-28,14,28112
2022-05-28,15,32157
2022-05-28,16,29908
2022-05-28,17,26410
2022-05-28,18,25941
2022-05-28,19,21714
2022-05-28,20,15910
2022-05-28,21,12200
2022-05-28,22,8787
2022-05-28,23,7275
2022-05-29,0,4927
2022-05-29,1,5646
2022-05-29,2,4973
2022-05-29,3,4726
2022-05-29,4,3844
2022-05-29,5,4448
2022-05-29,6,5049
2022-05-29,7,6431
2022-05-29,8,9074
2022-05-29,9,14133
2022-05-29,10,20512
2022-05-29,11,25327
2022-05-29,12,25856
2022-05-29,13,26679
2022-05-29,14,28434
2022-05-29,15,28309
2022-05-29,16,25632
2022-05-29,17,25887
2022-05-29,18,20975
2022-05-29,19,15219
2022-05-29,20,12257
2022-05-29,21,10008
2022-05-29,22,9247
2022-05-29,23,6811
2022-05-30,0,6076
2022-05-30,1,5792
2022-05-30,2,5107
2022-05-30,3,5031
2022-05-30,4,4460
2022-05-30,5,5316
2022-05-30,6,6970
2022-05-30,7,12002
2022-05-30,8,15624
2022-05-30,9,14720
2022-05-30,10,14677
2022-05-30,11,18658
2022-05-30,12,24221
2022-05-30,13,21122
2022-05-30,14,18222
2022-05-30,15,19462
2022-05-30,16,18295
2022-05-30,17,18375
2022-05-30,18,22025
2022-05-30,19,18213
2022-05-30,20,11992
2022-05-30,21,10652
2022-05-30,22,9750
2022-05-30,23,6553
2022-05-31,0,5521
2022-05-31,1,5209
2022-05-31,2,4803
2022-05-31,3,4787
2022-05-31,4,4428
2022-05-31,5,5212
2022-05-31,6,6438
2022-05-31,7,12510
2022-05-31,8,18063
2022-05-31,9,16940
2022-05-31,10,19311
2022-05-31,11,19762
2022-05-31,12,21432
2022-05-31,13,22421
2022-05-31,14,23446
2022-05-31,15,22204
2022-05-31,16,24355
2022-05-31,17,24885
2022-05-31,18,24735
2022-05-31,19,21388
2022-05-31,20,14451
2022-05-31,21,9160
2022-05-31,22,7660
2022-05-31,23,6067
2022-06-01,0,5346
2022-06-01,1,5048
2022-06-01,2,4753
2022-06-01,3,4764
2022-06-01,4,4365
2022-06-01,5,5142
2022-06-01,6,6712
2022-06-01,7,12561
2022-06-01,8,18534
2022-06-01,9,17482
2022-06-01,10,20275
2022-06-01,11,22985
2022-06-01,12,28651
2022-06-01,13,25882
2022-06-01,14,24734
2022-06-01,15,23389
2022-06-01,16,23347
2022-06-01,17,27991
2022-06-01,18,28438
2022-06-01,19,21238
2022-06-01,20,16143
2022-06-01,21,12596
2022-06-01,22,9806
2022-06-01,23,7971
2022-06-02,0,5914
2022-06-02,1,4979
2022-06-02,2,4646
2022-06-02,3,4335
2022-06-02,4,2828
2022-06-02,5,3563
2022-06-02,6,6062
2022-06-02,7,13233
2022-06-02,8,18872
2022-06-02,9,19189
2022-06-02,10,22164
2022-06-02,11,24127
2022-06-02,12,27018
2022-06-02,13,25854
2022-06-02,14,22732
2022-06-02,15,23879
2022-06-02,16,24853
2022-06-02,17,27699
2022-06-02,18,27534
2022-06-02,19,22444
2022-06-02,20,13889
2022-06-02,21,10184
2022-06-02,22,8313
2022-06-02,23,6015
2022-06-03,0,4866
2022-06-03,1,4087
2022-06-03,2,4106
2022-06-03,3,4024
2022-06-03,4,3592
2022-06-03,5,4590
2022-06-03,6,6502
2022-06-03,7,12607
2022-06-03,8,18716
2022-06-03,9,19874
2022-06-03,10,25341
2022-06-03,11,26927
2022-06-03,12,30778
2022-06-03,13,28546
2022-06-03,14,27088
2022-06-03,15,25893
2022-06-03,16,25763
2022-06-03,17,25931
2022-06-03,18,25351
2022-06-03,19,21217
2022-06-03,20,15066
2022-06-03,21,12132
2022-06-03,22,11097
2022-06-03,23,9526
2022-06-04,0,6312
2022-06-04,1,5552
2022-06-04,2,4884
2022-06-04,3,4250
2022-06-04,4,3680
2022-06-04,5,4661
2022-06-04,6,5206
2022-06-04,7,6828
2022-06-04,8,9419
2022-06-04,9,16718
2022-06-04,10,23239
2022-06-04,11,25250
2022-06-04,12,28223
2022-06-04,13,35631
2022-06-04,14,31611
2022-06-04,15,30379
2022-06-04,16,30838
2022-06-04,17,30564
2022-06-04,18,25223
2022-06-04,19,22130
2022-06-04,20,16814
2022-06-04,21,12363
2022-06-04,22,9719
2022-06-04,23,8577
2022-06-05,0,6448
2022-06-05,1,5893
2022-06-05,2,5815
2022-06-05,3,5027
