date,hour,bdaddr
2022-07-04,9,12137
2022-07-04,11,21567
2022-07-04,12,33429
2022-07-04,13,19525
2022-07-04,14,20564
2022-07-04,15,36342
2022-07-04,16,19364
2022-07-04,17,26090
2022-07-04,18,31426
2022-07-04,19,15725
2022-07-04,20,13573
2022-07-04,21,19485
2022-07-04,22,14627
2022-07-04,23,36032
2022-07-05,0,30455
2022-07-05,1,7366
2022-07-06,10,44
2022-07-06,11,10672
2022-07-06,12,26323
2022-07-06,13,1712
2022-07-06,14,20589
2022-07-06,15,16697
2022-07-06,16,19967
2022-07-06,17,28906
2022-07-06,18,39007
2022-07-06,19,20749
2022-07-06,20,17693
2022-07-06,21,3406
2022-07-06,22,25930
2022-07-06,23,14728
2022-07-07,0,10886
2022-07-07,1,12168
2022-07-07,2,27138
2022-07-07,3,12449
2022-07-07,4,19653
2022-07-07,5,17517
2022-07-07,6,16325
2022-07-07,7,4961
2022-07-07,8,25741
2022-07-07,9,14485
2022-07-07,10,10599
2022-07-07,11,25206
2022-07-07,12,30020
2022-07-07,13,12943
2022-07-07,14,19
2022-07-09,11,18320
2022-07-09,12,112
2022-07-09,13,23087
2022-07-09,14,100
2022-07-09,15,24570
2022-07-09,16,21725
2022-07-09,17,20235
2022-07-09,18,832
2022-07-10,8,2997
2022-07-10,9,2395
2022-07-11,9,12389
2022-07-11,10,18590
2022-07-11,11,21865
2022-07-11,12,91
2022-07-12,8,11431
2022-07-12,9,2928
2022-07-12,10,17634
2022-07-12,11,12422
2022-07-12,12,19078
2022-07-12,13,20410
2022-07-12,14,16507
2022-07-12,15,18392
2022-07-12,16,7911
2022-07-12,17,22479
2022-07-12,18,18940
2022-07-12,19,18442
2022-07-12,20,14789
2022-07-12,21,1025
2022-07-12,22,30107
2022-07-12,23,16907
2022-07-13,0,17376
2022-07-13,1,13438
2022-07-13,2,22734
2022-07-13,3,225
2022-07-13,4,31369
2022-07-13,5,74
2022-07-15,8,452
2022-07-15,9,20322
2022-07-15,10,23533
2022-07-15,11,118
2022-07-15,12,30567
2022-07-15,13,141
2022-07-15,14,23220
2022-07-15,15,25260
2022-07-15,16,1363
2022-07-15,17,30040
2022-07-15,18,28511
2022-07-16,8,991
2022-07-16,9,8135
2022-07-16,10,15993
2022-07-16,11,19918
2022-07-16,12,23817
2022-07-16,13,146
2022-07-16,14,22134
2022-07-16,15,17479
2022-07-16,16,155
2022-07-17,9,9610
2022-07-17,10,45
2022-07-17,11,20431
2022-07-17,12,16626
2022-07-17,13,29238
2022-07-17,14,22444
2022-07-17,15,16585
2022-07-17,16,10926
2022-07-17,17,15198
2022-07-17,18,12298
2022-07-17,19,12659
2022-07-17,20,8792
2022-07-18,11,14478
2022-07-18,12,22625
2022-07-18,13,23449
2022-07-18,14,20601
2022-07-18,15,19307
2022-07-18,16,18286
2022-07-18,17,18253
2022-07-18,18,9422
2022-07-19,8,10257
2022-07-19,9,19232
2022-07-19,10,17447
2022-07-19,11,20638
2022-07-19,12,30759
2022-07-19,13,25402
2022-07-19,14,20006
2022-07-19,15,19766
2022-07-19,16,21736
2022-07-19,17,27053
2022-07-19,18,12204
2022-07-20,8,16146
2022-07-20,9,18842
2022-07-20,10,17375
2022-07-20,11,24245
2022-07-20,12,113
2022-07-20,18,1252
2022-07-21,8,11023
2022-07-21,9,18229
2022-07-21,10,16994
2022-07-21,11,20055
2022-07-21,12,31951
2022-07-21,13,25138
2022-07-21,14,25474
2022-07-21,15,21723
2022-07-21,16,23946
2022-07-21,17,28041
2022-07-21,18,13264
2022-07-22,8,15539
2022-07-22,9,22272
2022-07-22,10,19548
2022-07-22,11,20791
2022-07-22,12,33504
2022-07-22,13,24415
2022-07-22,14,22060
2022-07-22,15,21218
2022-07-22,16,23194
2022-07-22,17,28713
2022-07-22,18,12611
2022-07-23,8,6711
2022-07-23,9,14959
2022-07-23,10,23387
2022-07-23,11,24204
2022-07-23,12,27675
2022-07-23,13,28264
2022-07-23,14,24240
2022-07-23,15,25220
2022-07-23,16,27359
2022-07-23,17,25760
2022-07-23,18,13301
2022-07-24,8,2584
2022-07-24,9,11316
2022-07-24,10,13815
2022-07-24,11,18185
2022-07-24,12,23000
2022-07-24,13,22990
2022-07-24,14,24365
2022-07-24,15,23752
2022-07-24,16,21473
2022-07-24,17,22292
2022-07-24,18,10196
2022-07-25,9,14239
2022-07-25,10,18078
2022-07-25,11,23026
2022-07-25,12,33462
2022-07-25,13,25539
2022-07-25,14,21787
2022-07-25,15,21119
2022-07-25,16,22629
2022-07-25,17,27522
2022-07-25,18,11249
2022-07-26,8,10789
2022-07-26,9,17987
2022-07-26,10,17746
2022-07-26,11,20817
2022-07-26,12,29933
2022-07-26,13,23178
2022-07-26,14,20982
2022-07-26,15,21373
2022-07-26,16,20892
2022-07-26,17,25654
2022-07-26,18,12531
2022-07-27,8,9610
2022-07-27,9,17917
2022-07-27,10,16077
2022-07-27,11,20824
2022-07-27,12,30651
2022-07-27,13,26942
2022-07-27,14,20774
2022-07-27,15,20038
2022-07-27,16,21589
2022-07-27,17,28254
2022-07-27,18,12190
2022-07-28,8,11656
2022-07-28,9,18411
2022-07-28,10,17769
2022-07-28,11,21275
2022-07-28,12,31339
2022-07-28,13,24690
2022-07-28,14,22830
2022-07-28,15,22444
2022-07-28,16,22391
2022-07-28,17,30506
2022-07-28,18,12933
2022-07-29,9,12769
2022-07-29,10,20514
2022-07-29,11,22700
2022-07-29,12,31948
2022-07-29,13,26999
2022-07-29,14,23662
2022-07-29,15,23528
2022-07-29,16,23266
2022-07-29,17,28501
2022-07-29,18,12793
2022-07-30,8,3260
2022-07-30,9,12731
2022-07-30,10,13800
2022-07-30,11,19896
2022-07-30,12,23205
2022-07-30,13,23130
2022-07-30,14,21808
2022-07-30,15,21069
2022-07-30,16,23993
2022-07-30,17,21984
2022-07-30,18,10115
2022-07-31,8,2788
2022-07-31,9,10697
2022-07-31,10,14111
2022-07-31,11,18564
2022-07-31,12,20542
2022-07-31,13,19604
