date,hour,bdaddr
2022-04-21,1,1033
2022-04-21,2,65
2022-04-21,12,1604
2022-04-25,15,4458
2022-04-25,16,18501
2022-04-25,17,18506
2022-04-25,18,16871
2022-04-25,19,16046
2022-04-25,20,12074
2022-04-25,21,10198
2022-04-25,22,8294
2022-04-25,23,7251
2022-04-26,0,6634
2022-04-26,1,6131
2022-04-26,2,6395
2022-04-26,3,6314
2022-04-26,4,3730
2022-04-26,5,4785
2022-04-26,6,4818
2022-04-26,7,6783
2022-04-26,8,12154
2022-04-26,9,11212
2022-04-26,10,13444
2022-04-26,11,14147
2022-04-26,12,20447
2022-04-26,13,22172
2022-04-26,14,22164
2022-04-26,15,20452
2022-04-26,16,19630
2022-04-26,17,18895
2022-04-26,18,16017
2022-04-26,19,13868
2022-04-26,20,11351
2022-04-26,21,8829
2022-04-26,22,7827
2022-04-26,23,6975
2022-04-27,0,7336
2022-04-27,1,6572
2022-04-27,2,6544
2022-04-27,3,6218
2022-04-27,4,4310
2022-04-27,5,5798
2022-04-27,6,6045
2022-04-27,7,8086
2022-04-27,8,13439
2022-04-27,9,17646
2022-04-27,10,18290
2022-04-27,11,21645
2022-04-27,12,26695
2022-04-27,13,24219
2022-04-27,14,25361
2022-04-27,15,25194
2022-04-27,16,26381
2022-04-27,17,26161
2022-04-27,18,21745
2022-04-27,19,22692
2022-04-27,20,17178
2022-04-27,21,12299
2022-04-27,22,9208
2022-04-27,23,8143
2022-04-28,0,6183
2022-04-28,1,5659
2022-04-28,2,5728
2022-04-28,3,5814
2022-04-28,4,3741
2022-04-28,5,5142
2022-04-28,6,4918
2022-04-28,7,6703
2022-04-28,8,12457
2022-04-28,9,14411
2022-04-28,10,13888
2022-04-28,11,19971
2022-04-28,12,26661
2022-04-28,13,27834
2022-04-28,14,30151
2022-04-28,15,32276
2022-04-28,16,27560
2022-04-28,17,27231
2022-04-28,18,26768
2022-04-28,19,26765
2022-04-28,20,24133
2022-04-28,21,21720
