datetime,count
2022-06-03 18:35:00,179
2022-06-03 18:40:00,1309
2022-06-03 18:45:00,1033
2022-06-03 18:50:00,1161
2022-06-03 18:55:00,906
2022-06-03 19:00:00,1021
2022-06-03 19:05:00,966
2022-06-03 19:10:00,1002
2022-06-03 19:15:00,856
2022-06-03 19:20:00,1019
2022-06-03 19:25:00,844
2022-06-03 19:30:00,830
2022-06-03 19:35:00,984
2022-06-03 19:40:00,839
2022-06-03 19:45:00,918
2022-06-03 19:50:00,927
2022-06-03 19:55:00,725
2022-06-03 20:00:00,566
2022-06-03 20:05:00,521
2022-06-03 20:10:00,399
2022-06-03 20:15:00,0
2022-06-03 20:20:00,0
2022-06-03 20:25:00,0
2022-06-03 20:30:00,0
2022-06-03 20:35:00,0
2022-06-03 20:40:00,0
2022-06-03 20:45:00,0
2022-06-03 20:50:00,0
2022-06-03 20:55:00,262
2022-06-03 21:00:00,451
2022-06-03 21:05:00,799
2022-06-03 21:10:00,1200
2022-06-03 21:15:00,660
2022-06-03 21:20:00,549
2022-06-03 21:25:00,551
2022-06-03 21:30:00,403
2022-06-03 21:35:00,514
2022-06-03 21:40:00,529
2022-06-03 21:45:00,473
2022-06-03 21:50:00,337
2022-06-03 21:55:00,333
2022-06-03 22:00:00,156
2022-06-03 22:05:00,266
2022-06-03 22:10:00,213
2022-06-03 22:15:00,332
2022-06-03 22:20:00,255
2022-06-03 22:25:00,237
2022-06-03 22:30:00,200
2022-06-03 22:35:00,141
2022-06-03 22:40:00,257
2022-06-03 22:45:00,164
2022-06-03 22:50:00,228
2022-06-03 22:55:00,193
2022-06-03 23:00:00,8
2022-06-03 23:05:00,0
2022-06-03 23:10:00,224
2022-06-03 23:15:00,169
2022-06-03 23:20:00,0
2022-06-03 23:25:00,326
2022-06-03 23:30:00,413
2022-06-03 23:35:00,402
2022-06-03 23:40:00,251
2022-06-03 23:45:00,0
2022-06-03 23:50:00,233
2022-06-03 23:55:00,341
2022-06-04 00:00:00,199
2022-06-04 00:05:00,259
2022-06-04 00:10:00,217
2022-06-04 00:15:00,131
2022-06-04 00:20:00,0
2022-06-04 00:25:00,178
2022-06-04 00:30:00,201
2022-06-04 00:35:00,231
2022-06-04 00:40:00,167
2022-06-04 00:45:00,236
2022-06-04 00:50:00,171
2022-06-04 00:55:00,180
2022-06-04 01:00:00,117
2022-06-04 01:05:00,159
2022-06-04 01:10:00,142
2022-06-04 01:15:00,103
2022-06-04 01:20:00,128
2022-06-04 01:25:00,79
2022-06-04 01:30:00,85
2022-06-04 01:35:00,93
2022-06-04 01:40:00,104
2022-06-04 01:45:00,79
2022-06-04 01:50:00,82
2022-06-04 01:55:00,106
2022-06-04 02:00:00,83
2022-06-04 02:05:00,117
2022-06-04 02:10:00,71
2022-06-04 02:15:00,111
2022-06-04 02:20:00,108
2022-06-04 02:25:00,43
2022-06-04 02:30:00,2
2022-06-04 02:35:00,19
2022-06-04 02:40:00,0
2022-06-04 02:45:00,172
2022-06-04 02:50:00,39
2022-06-04 02:55:00,0
2022-06-04 03:00:00,116
2022-06-04 03:05:00,47
2022-06-04 03:10:00,0
2022-06-04 03:15:00,106
2022-06-04 03:20:00,41
2022-06-04 03:25:00,0
2022-06-04 03:30:00,140
2022-06-04 03:35:00,119
2022-06-04 03:40:00,0
2022-06-04 03:45:00,73
2022-06-04 03:50:00,66
2022-06-04 03:55:00,0
2022-06-04 04:00:00,0
2022-06-04 04:05:00,0
2022-06-04 04:10:00,35
2022-06-04 04:15:00,171
2022-06-04 04:20:00,91
2022-06-04 04:25:00,48
2022-06-04 04:30:00,91
2022-06-04 04:35:00,85
2022-06-04 04:40:00,0
2022-06-04 04:45:00,73
2022-06-04 04:50:00,113
2022-06-04 04:55:00,82
2022-06-04 05:00:00,0
2022-06-04 05:05:00,0
2022-06-04 05:10:00,0
2022-06-04 05:15:00,0
2022-06-04 05:20:00,0
2022-06-04 05:25:00,0
2022-06-04 05:30:00,0
2022-06-04 05:35:00,0
2022-06-04 05:40:00,0
2022-06-04 05:45:00,0
2022-06-04 05:50:00,0
2022-06-04 05:55:00,0
2022-06-04 06:00:00,122
2022-06-04 06:05:00,92
2022-06-04 06:10:00,39
2022-06-04 06:15:00,0
2022-06-04 06:20:00,115
2022-06-04 06:25:00,26
2022-06-04 06:30:00,0
2022-06-04 06:35:00,159
2022-06-04 06:40:00,6
2022-06-04 06:45:00,105
2022-06-04 06:50:00,152
2022-06-04 06:55:00,206
2022-06-04 07:00:00,130
2022-06-04 07:05:00,108
2022-06-04 07:10:00,137
2022-06-04 07:15:00,179
2022-06-04 07:20:00,163
2022-06-04 07:25:00,242
2022-06-04 07:30:00,235
2022-06-04 07:35:00,247
2022-06-04 07:40:00,477
2022-06-04 07:45:00,314
2022-06-04 07:50:00,267
2022-06-04 07:55:00,309
2022-06-04 08:00:00,197
2022-06-04 08:05:00,314
2022-06-04 08:10:00,289
2022-06-04 08:15:00,421
2022-06-04 08:20:00,511
2022-06-04 08:25:00,587
2022-06-04 08:30:00,689
2022-06-04 08:35:00,455
2022-06-04 08:40:00,468
2022-06-04 08:45:00,732
2022-06-04 08:50:00,596
2022-06-04 08:55:00,698
2022-06-04 09:00:00,482
2022-06-04 09:05:00,482
2022-06-04 09:10:00,604
2022-06-04 09:15:00,565
2022-06-04 09:20:00,688
2022-06-04 09:25:00,828
2022-06-04 09:30:00,683
2022-06-04 09:35:00,674
2022-06-04 09:40:00,690
2022-06-04 09:45:00,705
2022-06-04 09:50:00,740
2022-06-04 09:55:00,815
2022-06-04 10:00:00,586
2022-06-04 10:05:00,491
2022-06-04 10:10:00,640
2022-06-04 10:15:00,890
2022-06-04 10:20:00,923
2022-06-04 10:25:00,1081
2022-06-04 10:30:00,951
2022-06-04 10:35:00,1084
2022-06-04 10:40:00,855
2022-06-04 10:45:00,876
2022-06-04 10:50:00,1123
2022-06-04 10:55:00,1033
2022-06-04 11:00:00,697
2022-06-04 11:05:00,820
2022-06-04 11:10:00,711
2022-06-04 11:15:00,847
2022-06-04 11:20:00,965
2022-06-04 11:25:00,908
2022-06-04 11:30:00,947
