datetime,count
2022-05-14 14:00:00,713
2022-05-14 14:05:00,1770
2022-05-14 14:10:00,1685
2022-05-14 14:15:00,2035
2022-05-14 14:20:00,1831
2022-05-14 14:25:00,2066
2022-05-14 14:30:00,2148
2022-05-14 14:35:00,1970
2022-05-14 14:40:00,2210
2022-05-14 14:45:00,1579
2022-05-14 14:50:00,1703
2022-05-14 14:55:00,1674
2022-05-14 15:00:00,1543
2022-05-14 15:05:00,2094
2022-05-14 15:10:00,2014
2022-05-14 15:15:00,1921
2022-05-14 15:20:00,1794
2022-05-14 15:25:00,1749
2022-05-14 15:30:00,1847
2022-05-14 15:35:00,1567
2022-05-14 15:40:00,1549
2022-05-14 15:45:00,1682
2022-05-14 15:50:00,1825
2022-05-14 15:55:00,1975
2022-05-14 16:00:00,1536
2022-05-14 16:05:00,2186
2022-05-14 16:10:00,2107
2022-05-14 16:15:00,2078
2022-05-14 16:20:00,1799
2022-05-14 16:25:00,1857
2022-05-14 16:30:00,1827
2022-05-14 16:35:00,1634
2022-05-14 16:40:00,1495
2022-05-14 16:45:00,2005
2022-05-14 16:50:00,2256
2022-05-14 16:55:00,2004
2022-05-14 17:00:00,1719
2022-05-14 17:05:00,2069
2022-05-14 17:10:00,2031
2022-05-14 17:15:00,2031
2022-05-14 17:20:00,2167
2022-05-14 17:25:00,1804
2022-05-14 17:30:00,1967
2022-05-14 17:35:00,1807
2022-05-14 17:40:00,1962
2022-05-14 17:45:00,2278
2022-05-14 17:50:00,2513
2022-05-14 17:55:00,1846
2022-05-14 18:00:00,1885
2022-05-14 18:05:00,1564
2022-05-14 18:10:00,0
2022-05-14 18:15:00,1929
2022-05-14 18:20:00,1617
2022-05-14 18:25:00,2017
2022-05-14 18:30:00,1436
2022-05-14 18:35:00,1685
2022-05-14 18:40:00,1894
2022-05-14 18:45:00,1756
2022-05-14 18:50:00,1776
2022-05-14 18:55:00,1808
2022-05-14 19:00:00,1319
2022-05-14 19:05:00,1692
2022-05-14 19:10:00,1576
2022-05-14 19:15:00,1588
2022-05-14 19:20:00,1871
2022-05-14 19:25:00,1871
2022-05-14 19:30:00,1627
2022-05-14 19:35:00,1274
2022-05-14 19:40:00,1656
2022-05-14 19:45:00,1511
2022-05-14 19:50:00,1669
2022-05-14 19:55:00,1682
2022-05-14 20:00:00,1350
2022-05-14 20:05:00,1648
2022-05-14 20:10:00,1319
2022-05-14 20:15:00,1234
2022-05-14 20:20:00,980
2022-05-14 20:25:00,1302
2022-05-14 20:30:00,1028
2022-05-14 20:35:00,1103
2022-05-14 20:40:00,1334
2022-05-14 20:45:00,1301
2022-05-14 20:50:00,950
2022-05-14 20:55:00,1165
2022-05-14 21:00:00,1189
2022-05-14 21:05:00,779
2022-05-14 21:10:00,1046
2022-05-14 21:15:00,1210
2022-05-14 21:20:00,854
2022-05-14 21:25:00,930
2022-05-14 21:30:00,918
2022-05-14 21:35:00,754
2022-05-14 21:40:00,664
2022-05-14 21:45:00,961
2022-05-14 21:50:00,745
2022-05-14 21:55:00,775
2022-05-14 22:00:00,843
2022-05-14 22:05:00,910
2022-05-14 22:10:00,971
2022-05-14 22:15:00,716
2022-05-14 22:20:00,903
2022-05-14 22:25:00,738
2022-05-14 22:30:00,995
2022-05-14 22:35:00,621
2022-05-14 22:40:00,796
2022-05-14 22:45:00,867
2022-05-14 22:50:00,877
2022-05-14 22:55:00,696
2022-05-14 23:00:00,617
2022-05-14 23:05:00,688
2022-05-14 23:10:00,660
2022-05-14 23:15:00,557
2022-05-14 23:20:00,662
2022-05-14 23:25:00,605
2022-05-14 23:30:00,586
2022-05-14 23:35:00,507
2022-05-14 23:40:00,752
2022-05-14 23:45:00,628
2022-05-14 23:50:00,566
2022-05-14 23:55:00,692
2022-05-15 00:00:00,518
2022-05-15 00:05:00,672
2022-05-15 00:10:00,435
2022-05-15 00:15:00,439
2022-05-15 00:20:00,491
2022-05-15 00:25:00,497
2022-05-15 00:30:00,386
2022-05-15 00:35:00,421
2022-05-15 00:40:00,421
