datetime,count
2022-07-18 14:00:00,15432
2022-07-18 15:00:00,5815
2022-07-18 16:00:00,13378
2022-07-18 17:00:00,12943
2022-07-18 18:00:00,13752
2022-07-18 19:00:00,10269
2022-07-18 20:00:00,8814
2022-07-18 21:00:00,6000
2022-07-18 22:00:00,4567
2022-07-18 23:00:00,3046
2022-07-19 00:00:00,1427
2022-07-19 01:00:00,1971
2022-07-19 02:00:00,1421
2022-07-19 03:00:00,999
2022-07-19 04:00:00,1025
2022-07-19 05:00:00,1661
2022-07-19 06:00:00,1836
2022-07-19 07:00:00,4883
2022-07-19 08:00:00,12439
2022-07-19 09:00:00,8606
2022-07-19 10:00:00,7215
2022-07-19 11:00:00,9365
2022-07-19 12:00:00,17850
2022-07-19 13:00:00,13906
2022-07-19 14:00:00,9136
2022-07-19 15:00:00,8781
2022-07-19 16:00:00,9712
2022-07-19 17:00:00,13085
2022-07-19 18:00:00,15825
2022-07-19 19:00:00,14848
2022-07-19 20:00:00,11140
2022-07-19 21:00:00,6599
2022-07-19 22:00:00,5145
2022-07-19 23:00:00,3806
2022-07-20 00:00:00,3629
2022-07-20 01:00:00,1696
2022-07-20 02:00:00,1620
2022-07-20 03:00:00,1243
2022-07-20 04:00:00,1217
2022-07-20 05:00:00,1438
2022-07-20 06:00:00,1785
2022-07-20 07:00:00,4931
2022-07-20 08:00:00,11675
2022-07-20 09:00:00,8659
2022-07-20 10:00:00,10421
2022-07-20 11:00:00,14049
2022-07-20 12:00:00,18945
2022-07-20 13:00:00,15333
2022-07-20 14:00:00,14845
2022-07-20 15:00:00,14368
2022-07-20 16:00:00,13519
2022-07-20 17:00:00,17983
2022-07-20 18:00:00,19925
2022-07-20 19:00:00,15453
2022-07-20 20:00:00,13004
2022-07-20 21:00:00,10228
2022-07-20 22:00:00,7156
2022-07-20 23:00:00,5165
2022-07-21 00:00:00,2262
2022-07-21 01:00:00,2015
2022-07-21 02:00:00,2154
2022-07-21 03:00:00,1360
2022-07-21 04:00:00,1336
2022-07-21 05:00:00,1350
2022-07-21 06:00:00,2221
2022-07-21 07:00:00,5068
2022-07-21 08:00:00,12741
2022-07-21 09:00:00,9564
2022-07-21 10:00:00,12080
2022-07-21 11:00:00,14137
2022-07-21 12:00:00,21483
2022-07-21 13:00:00,16725
2022-07-21 14:00:00,14851
2022-07-21 15:00:00,14397
2022-07-21 16:00:00,13150
2022-07-21 17:00:00,16515
2022-07-21 18:00:00,18045
2022-07-21 19:00:00,11688
2022-07-21 20:00:00,10029
2022-07-21 21:00:00,7362
2022-07-21 22:00:00,6277
2022-07-21 23:00:00,3679
2022-07-22 00:00:00,1860
2022-07-22 01:00:00,1655
2022-07-22 02:00:00,1313
2022-07-22 03:00:00,946
2022-07-22 04:00:00,1038
2022-07-22 05:00:00,1331
2022-07-22 06:00:00,1803
2022-07-22 07:00:00,4838
2022-07-22 08:00:00,11985
2022-07-22 09:00:00,9246
2022-07-22 10:00:00,9959
2022-07-22 11:00:00,13929
2022-07-22 12:00:00,23323
2022-07-22 13:00:00,15525
2022-07-22 14:00:00,15794
2022-07-22 15:00:00,13470
2022-07-22 16:00:00,12972
2022-07-22 17:00:00,17076
2022-07-22 18:00:00,17588
2022-07-22 19:00:00,13823
2022-07-22 20:00:00,11428
2022-07-22 21:00:00,9941
2022-07-22 22:00:00,6809
2022-07-22 23:00:00,5069
2022-07-23 00:00:00,4043
2022-07-23 01:00:00,2560
2022-07-23 02:00:00,2017
2022-07-23 03:00:00,1802
2022-07-23 04:00:00,1734
2022-07-23 05:00:00,2478
2022-07-23 06:00:00,1855
2022-07-23 07:00:00,2376
2022-07-23 08:00:00,5980
2022-07-23 09:00:00,8136
2022-07-23 10:00:00,15414
2022-07-23 11:00:00,15480
2022-07-23 12:00:00,19224
2022-07-23 13:00:00,18046
2022-07-23 14:00:00,17455
2022-07-23 15:00:00,17962
2022-07-23 16:00:00,17567
2022-07-23 17:00:00,17273
2022-07-23 18:00:00,19643
2022-07-23 19:00:00,11951
2022-07-23 20:00:00,10008
2022-07-23 21:00:00,9938
2022-07-23 22:00:00,12640
2022-07-23 23:00:00,9357
2022-07-24 00:00:00,4735
2022-07-24 01:00:00,2403
2022-07-24 02:00:00,1655
2022-07-24 03:00:00,1638
2022-07-24 04:00:00,1599
2022-07-24 05:00:00,1651
2022-07-24 06:00:00,1851
2022-07-24 07:00:00,2371
2022-07-24 08:00:00,3964
2022-07-24 09:00:00,6469
2022-07-24 10:00:00,11420
2022-07-24 11:00:00,13076
2022-07-24 12:00:00,15588
2022-07-24 13:00:00,17412
2022-07-24 14:00:00,16988
2022-07-24 15:00:00,15752
2022-07-24 16:00:00,15884
2022-07-24 17:00:00,15759
2022-07-24 18:00:00,14496
2022-07-24 19:00:00,9183
2022-07-24 20:00:00,6782
2022-07-24 21:00:00,5268
2022-07-24 22:00:00,3429
2022-07-24 23:00:00,2184
2022-07-25 00:00:00,1936
2022-07-25 01:00:00,1527
2022-07-25 02:00:00,1535
2022-07-25 03:00:00,1217
2022-07-25 04:00:00,1565
2022-07-25 05:00:00,1438
2022-07-25 06:00:00,2174
2022-07-25 07:00:00,4884
2022-07-25 08:00:00,12656
2022-07-25 09:00:00,8052
2022-07-25 10:00:00,10206
2022-07-25 11:00:00,14630
2022-07-25 12:00:00,21460
2022-07-25 13:00:00,17063
2022-07-25 14:00:00,13457
2022-07-25 15:00:00,12206
2022-07-25 16:00:00,13408
2022-07-25 17:00:00,17266
2022-07-25 18:00:00,16909
2022-07-25 19:00:00,12768
2022-07-25 20:00:00,8148
2022-07-25 21:00:00,6793
2022-07-25 22:00:00,4846
2022-07-25 23:00:00,3266
2022-07-26 00:00:00,1527
2022-07-26 01:00:00,1433
2022-07-26 02:00:00,1125
2022-07-26 03:00:00,659
2022-07-26 04:00:00,832
2022-07-26 05:00:00,795
2022-07-26 06:00:00,1627
2022-07-26 07:00:00,4801
2022-07-26 08:00:00,12284
2022-07-26 09:00:00,8041
2022-07-26 10:00:00,8520
2022-07-26 11:00:00,10066
2022-07-26 12:00:00,18604
2022-07-26 13:00:00,12417
2022-07-26 14:00:00,10563
2022-07-26 15:00:00,10938
2022-07-26 16:00:00,11459
2022-07-26 17:00:00,13420
2022-07-26 18:00:00,14384
2022-07-26 19:00:00,12292
2022-07-26 20:00:00,9009
2022-07-26 21:00:00,7077
2022-07-26 22:00:00,6048
2022-07-26 23:00:00,4044
2022-07-27 00:00:00,2353
2022-07-27 01:00:00,2192
2022-07-27 02:00:00,1941
2022-07-27 03:00:00,1026
2022-07-27 04:00:00,1195
2022-07-27 05:00:00,1411
2022-07-27 06:00:00,1640
2022-07-27 07:00:00,5066
2022-07-27 08:00:00,11441
2022-07-27 09:00:00,7955
2022-07-27 10:00:00,9240
2022-07-27 11:00:00,13290
2022-07-27 12:00:00,19934
2022-07-27 13:00:00,16240
2022-07-27 14:00:00,13457
2022-07-27 15:00:00,13965
2022-07-27 16:00:00,13296
2022-07-27 17:00:00,16906
2022-07-27 18:00:00,16347
2022-07-27 19:00:00,13681
2022-07-27 20:00:00,10490
2022-07-27 21:00:00,10082
2022-07-27 22:00:00,3922
2022-07-27 23:00:00,2744
2022-07-28 00:00:00,2079
2022-07-28 01:00:00,1317
2022-07-28 02:00:00,769
2022-07-28 03:00:00,960
2022-07-28 04:00:00,1185
2022-07-28 05:00:00,827
2022-07-28 06:00:00,1164
2022-07-28 07:00:00,4753
2022-07-28 08:00:00,12216
2022-07-28 09:00:00,8578
2022-07-28 10:00:00,10043
2022-07-28 11:00:00,14902
2022-07-28 12:00:00,21732
2022-07-28 13:00:00,16010
2022-07-28 14:00:00,14526
2022-07-28 15:00:00,13180
2022-07-28 16:00:00,12985
2022-07-28 17:00:00,17156
2022-07-28 18:00:00,16657
2022-07-28 19:00:00,12836
2022-07-28 20:00:00,8664
2022-07-28 21:00:00,6095
2022-07-28 22:00:00,4598
2022-07-28 23:00:00,3902
2022-07-29 00:00:00,1823
2022-07-29 01:00:00,1233
2022-07-29 02:00:00,948
2022-07-29 03:00:00,493
2022-07-29 04:00:00,504
2022-07-29 05:00:00,818
2022-07-29 06:00:00,1397
2022-07-29 07:00:00,4247
2022-07-29 08:00:00,10914
2022-07-29 09:00:00,9130
2022-07-29 10:00:00,10420
2022-07-29 11:00:00,13558
2022-07-29 12:00:00,21547
2022-07-29 13:00:00,16300
2022-07-29 14:00:00,15386
2022-07-29 15:00:00,15250
2022-07-29 16:00:00,14940
2022-07-29 17:00:00,17816
2022-07-29 18:00:00,17465
2022-07-29 19:00:00,12441
2022-07-29 20:00:00,11366
2022-07-29 21:00:00,9830
