date,hour,bdaddr
2022-04-20,11,249
2022-04-20,12,957
2022-04-20,20,1910
2022-04-25,14,10881
2022-04-25,15,17268
2022-04-25,16,17284
2022-04-25,17,18639
2022-04-25,18,18766
2022-04-25,19,20685
2022-04-25,20,15011
2022-04-25,21,10197
2022-04-25,22,8672
2022-04-25,23,6651
2022-04-26,0,3978
2022-04-26,1,4815
2022-04-26,2,4992
2022-04-26,3,4906
2022-04-26,4,887
2022-04-26,5,4583
2022-04-26,6,5911
2022-04-26,7,7370
2022-04-26,8,11565
2022-04-26,9,15630
2022-04-26,10,15109
2022-04-26,11,15814
2022-04-26,12,20499
2022-04-26,13,17240
2022-04-26,14,22075
2022-04-26,15,19507
2022-04-26,16,16910
2022-04-26,17,19939
2022-04-26,18,20827
2022-04-26,19,19543
2022-04-26,20,14140
2022-04-26,21,12456
2022-04-26,22,10204
2022-04-26,23,8203
2022-04-27,0,6250
2022-04-27,1,6794
2022-04-27,2,6780
2022-04-27,3,6729
2022-04-27,4,1031
2022-04-27,5,5068
2022-04-27,6,6520
2022-04-27,7,8606
2022-04-27,8,12435
2022-04-27,9,16036
2022-04-27,10,14523
2022-04-27,11,17756
2022-04-27,12,22210
2022-04-27,13,19210
2022-04-27,14,21981
2022-04-27,15,18821
2022-04-27,16,19071
2022-04-27,17,20415
2022-04-27,18,21607
2022-04-27,19,20103
2022-04-27,20,15305
2022-04-27,21,11753
2022-04-27,22,9725
2022-04-27,23,8307
2022-04-28,0,7571
2022-04-28,1,7365
2022-04-28,2,7059
2022-04-28,3,6878
2022-04-28,4,1229
2022-04-28,5,5366
2022-04-28,6,7494
2022-04-28,7,9021
2022-04-28,8,13068
2022-04-28,9,15954
2022-04-28,10,16724
2022-04-28,11,18089
2022-04-28,12,25193
2022-04-28,13,22789
2022-04-28,14,23907
2022-04-28,15,22324
2022-04-28,16,22298
2022-04-28,17,22216
2022-04-28,18,23694
2022-04-28,19,20724
2022-04-28,20,16038
2022-04-28,21,13443
2022-04-28,22,12096
2022-04-28,23,9868
2022-04-29,0,7508
2022-04-29,1,7111
2022-04-29,2,7231
2022-04-29,3,6407
2022-04-29,4,4896
2022-04-29,5,6388
2022-04-29,6,6260
2022-04-29,7,6439
2022-04-29,8,7729
2022-04-29,9,15091
2022-04-29,10,17934
2022-04-29,11,21078
2022-04-29,12,23102
2022-04-29,13,24177
2022-04-29,14,24422
2022-04-29,15,21663
2022-04-29,16,20505
2022-04-29,17,21962
2022-04-29,18,21197
2022-04-29,19,16901
2022-04-29,20,13400
2022-04-29,21,11055
2022-04-29,22,9822
2022-04-29,23,8361
2022-04-30,0,7046
2022-04-30,1,7357
2022-04-30,2,6673
2022-04-30,3,6864
2022-04-30,4,5192
2022-04-30,5,6963
2022-04-30,6,6720
2022-04-30,7,6969
2022-04-30,8,8982
2022-04-30,9,11710
2022-04-30,10,15765
2022-04-30,11,17893
2022-04-30,12,20383
2022-04-30,13,22761
2022-04-30,14,24377
2022-04-30,15,23453
2022-04-30,16,23286
2022-04-30,17,22926
2022-04-30,18,21492
2022-04-30,19,19206
2022-04-30,20,18121
2022-04-30,21,15851
2022-04-30,22,11618
2022-04-30,23,9273
2022-05-01,0,6539
2022-05-01,1,6283
2022-05-01,2,6167
2022-05-01,3,6346
2022-05-01,4,1019
2022-05-01,5,3479
2022-05-01,6,5703
2022-05-01,7,5742
2022-05-01,8,7478
2022-05-01,9,15450
2022-05-01,10,18392
2022-05-01,11,21839
2022-05-01,12,21854
2022-05-01,13,22362
2022-05-01,14,25108
2022-05-01,15,22270
2022-05-01,16,20537
2022-05-01,17,21327
2022-05-01,18,20265
2022-05-01,19,16673
2022-05-01,20,12082
2022-05-01,21,10849
2022-05-01,22,8165
2022-05-01,23,7726
2022-05-02,0,6733
2022-05-02,1,6515
2022-05-02,2,6644
2022-05-02,3,6030
2022-05-02,4,999
2022-05-02,5,4239
2022-05-02,6,6088
2022-05-02,7,6887
2022-05-02,8,9632
2022-05-02,9,13917
2022-05-02,10,15396
2022-05-02,11,17751
2022-05-02,12,20355
2022-05-02,13,19616
2022-05-02,14,21037
2022-05-02,15,21634
2022-05-02,16,20543
2022-05-02,17,22414
2022-05-02,18,22038
2022-05-02,19,18239
2022-05-02,20,15037
2022-05-02,21,11065
2022-05-02,22,10047
2022-05-02,23,8777
2022-05-03,0,6570
2022-05-03,1,6662
2022-05-03,2,6843
2022-05-03,3,6239
2022-05-03,4,1153
2022-05-03,5,4606
2022-05-03,6,6357
2022-05-03,7,6287
2022-05-03,8,7968
2022-05-03,9,14008
2022-05-03,10,15563
2022-05-03,11,18759
2022-05-03,12,22356
2022-05-03,13,20492
2022-05-03,14,24641
2022-05-03,15,22495
2022-05-03,16,21715
2022-05-03,17,20144
2022-05-03,18,20554
2022-05-03,19,18284
2022-05-03,20,13198
2022-05-03,21,10324
2022-05-03,22,9033
2022-05-03,23,7451
2022-05-04,0,5923
2022-05-04,1,5148
2022-05-04,2,5738
2022-05-04,3,5705
2022-05-04,4,4672
2022-05-04,5,6201
2022-05-04,6,6545
2022-05-04,7,6149
2022-05-04,8,7389
2022-05-04,9,10990
2022-05-04,10,13643
2022-05-04,11,17708
2022-05-04,12,19468
2022-05-04,13,20218
2022-05-04,14,20906
2022-05-04,15,20040
2022-05-04,16,22899
2022-05-04,17,21052
2022-05-04,18,20565
