date,hour,bdaddr
2022-04-21,4,136
2022-04-21,5,508
2022-04-21,12,2128
2022-04-27,15,4719
2022-04-27,16,12318
2022-04-27,17,12833
2022-04-27,18,11344
2022-04-27,19,9041
2022-04-27,20,6977
2022-04-27,21,6037
2022-04-27,22,5709
2022-04-27,23,4728
2022-04-28,0,3674
2022-04-28,1,4711
2022-04-28,2,4629
2022-04-28,3,4832
2022-04-28,4,3891
2022-04-28,5,5421
2022-04-28,6,5383
2022-04-28,7,8272
2022-04-28,8,8966
2022-04-28,9,8726
2022-04-28,10,10018
2022-04-28,11,12882
2022-04-28,12,16686
2022-04-28,13,11790
2022-04-28,14,12197
2022-04-28,15,13234
2022-04-28,16,13265
2022-04-28,17,15789
2022-04-28,18,20275
2022-04-28,19,16395
2022-04-28,20,16347
2022-04-28,21,17567
2022-04-28,22,15374
2022-04-28,23,8583
2022-04-29,0,6620
2022-04-29,1,6115
2022-04-29,2,6541
2022-04-29,3,5997
2022-04-29,4,3637
2022-04-29,5,4913
2022-04-29,6,6041
2022-04-29,7,6257
2022-04-29,8,6634
2022-04-29,9,7135
2022-04-29,10,7752
2022-04-29,11,8800
2022-04-29,12,9662
2022-04-29,13,8275
2022-04-29,14,9146
2022-04-29,15,8029
2022-04-29,16,6679
2022-04-29,17,11138
2022-04-29,18,10980
2022-04-29,19,10050
2022-04-29,20,9686
2022-04-29,21,11620
2022-04-29,22,9280
2022-04-29,23,7482
2022-04-30,0,4890
2022-04-30,1,5234
2022-04-30,2,5626
2022-04-30,3,4055
2022-04-30,4,2734
2022-04-30,5,4044
2022-04-30,6,5848
2022-04-30,7,5107
2022-04-30,8,4703
2022-04-30,9,6303
2022-04-30,10,8382
2022-04-30,11,8642
2022-04-30,12,9568
2022-04-30,13,9077
2022-04-30,14,9079
2022-04-30,15,8375
2022-04-30,16,8703
2022-04-30,17,14761
2022-04-30,18,15913
2022-04-30,19,13925
2022-04-30,20,14839
2022-04-30,21,15137
2022-04-30,22,10916
2022-04-30,23,6024
2022-05-01,0,5283
2022-05-01,1,5270
2022-05-01,2,5309
2022-05-01,3,5761
2022-05-01,4,4615
2022-05-01,5,5363
2022-05-01,6,5775
2022-05-01,7,6469
2022-05-01,8,6644
2022-05-01,9,6854
2022-05-01,10,7655
2022-05-01,11,7402
2022-05-01,12,6693
2022-05-01,13,6984
2022-05-01,14,7691
2022-05-01,15,7660
2022-05-01,16,7133
2022-05-01,17,9765
2022-05-01,18,9167
2022-05-01,19,12463
2022-05-01,20,14806
2022-05-01,21,12021
2022-05-01,22,12466
2022-05-01,23,9985
2022-05-02,0,6677
2022-05-02,1,6281
2022-05-02,2,4949
2022-05-02,3,4849
2022-05-02,4,3451
2022-05-02,5,5123
2022-05-02,6,6157
2022-05-02,7,6534
2022-05-02,8,6450
2022-05-02,9,6340
2022-05-02,10,5813
2022-05-02,11,7852
2022-05-02,12,10335
2022-05-02,13,8780
2022-05-02,14,8698
2022-05-02,15,9633
2022-05-02,16,8955
2022-05-02,17,10347
2022-05-02,18,15168
2022-05-02,19,17579
2022-05-02,20,16480
2022-05-02,21,12527
2022-05-02,22,13070
2022-05-02,23,9106
2022-05-03,0,6634
2022-05-03,1,6528
2022-05-03,2,5752
2022-05-03,3,5555
2022-05-03,4,3576
2022-05-03,5,5014
2022-05-03,6,5465
2022-05-03,7,5458
2022-05-03,8,5466
2022-05-03,9,6713
2022-05-03,10,8998
2022-05-03,11,8346
2022-05-03,12,8746
2022-05-03,13,9498
2022-05-03,14,11460
2022-05-03,15,10564
2022-05-03,16,11135
2022-05-03,17,18681
2022-05-03,18,18175
2022-05-03,19,14690
2022-05-03,20,15277
2022-05-03,21,16116
2022-05-03,22,14116
2022-05-03,23,9097
2022-05-04,0,5804
2022-05-04,1,5894
2022-05-04,2,6040
2022-05-04,3,5367
2022-05-04,4,3233
2022-05-04,5,5279
2022-05-04,6,6162
2022-05-04,7,7510
2022-05-04,8,7995
2022-05-04,9,7767
2022-05-04,10,8798
2022-05-04,11,9044
2022-05-04,12,9455
2022-05-04,13,9889
2022-05-04,14,9631
2022-05-04,15,9902
2022-05-04,16,10001
2022-05-04,17,16028
2022-05-04,18,18394
2022-05-04,19,18927
2022-05-04,20,15218
2022-05-04,21,14750
2022-05-04,22,12859
2022-05-04,23,8134
2022-05-05,0,5535
2022-05-05,1,5566
2022-05-05,2,4923
2022-05-05,3,5404
2022-05-05,4,3559
2022-05-05,5,5272
2022-05-05,6,5178
2022-05-05,7,5617
2022-05-05,8,5645
2022-05-05,9,6984
2022-05-05,10,7646
2022-05-05,11,9664
2022-05-05,12,11553
2022-05-05,13,11643
2022-05-05,14,11172
2022-05-05,15,12191
2022-05-05,16,12263
2022-05-05,17,9018
2022-05-05,18,8576
2022-05-05,19,7499
2022-05-05,20,6914
2022-05-05,21,6184
2022-05-05,22,6121
2022-05-05,23,5534
2022-05-06,0,5473
2022-05-06,1,5512
2022-05-06,2,5067
2022-05-06,3,5300
2022-05-06,4,3353
2022-05-06,5,5198
2022-05-06,6,5702
2022-05-06,7,6907
2022-05-06,8,7271
2022-05-06,9,8293
2022-05-06,10,11017
2022-05-06,11,11853
2022-05-06,12,13914
2022-05-06,13,11450
2022-05-06,14,11769
2022-05-06,15,12003
2022-05-06,16,11613
2022-05-06,17,14380
2022-05-06,18,16650
2022-05-06,19,18277
2022-05-06,20,15043
2022-05-06,21,13543
2022-05-06,22,7135
2022-05-06,23,6161
2022-05-07,0,5130
2022-05-07,1,4658
2022-05-07,2,4843
2022-05-07,3,4236
2022-05-07,4,2835
2022-05-07,5,4424
2022-05-07,6,5541
2022-05-07,7,5811
2022-05-07,8,6870
2022-05-07,9,8813
2022-05-07,10,12034
2022-05-07,11,12513
2022-05-07,12,14296
2022-05-07,13,12870
2022-05-07,14,12861
2022-05-07,15,12256
2022-05-07,16,12037
2022-05-07,17,15906
2022-05-07,18,19798
2022-05-07,19,18449
2022-05-07,20,20990
2022-05-07,21,19481
2022-05-07,22,14480
2022-05-07,23,10705
2022-05-08,0,6096
2022-05-08,1,5250
2022-05-08,2,5491
2022-05-08,3,4968
2022-05-08,4,2340
2022-05-08,5,5234
2022-05-08,6,5660
2022-05-08,7,5521
2022-05-08,8,6461
2022-05-08,9,8013
2022-05-08,10,8863
2022-05-08,11,9051
2022-05-08,12,10098
2022-05-08,13,11236
2022-05-08,14,11549
2022-05-08,15,8282
2022-05-08,16,9236
2022-05-08,17,13502
2022-05-08,18,15818
2022-05-08,19,14327
2022-05-08,20,14013
2022-05-08,21,14136
2022-05-08,22,11513
2022-05-08,23,7781
2022-05-09,0,6833
2022-05-09,1,6792
2022-05-09,2,6496
2022-05-09,3,5653
2022-05-09,4,4056
2022-05-09,5,5702
2022-05-09,6,5220
2022-05-09,7,6482
2022-05-09,8,7823
2022-05-09,9,6140
2022-05-09,10,5583
2022-05-09,11,6973
2022-05-09,12,11321
2022-05-09,13,9232
2022-05-09,14,9547
2022-05-09,15,8343
2022-05-09,16,7824
2022-05-09,17,8716
2022-05-09,18,10307
2022-05-09,19,10488
2022-05-09,20,11129
2022-05-09,21,11875
2022-05-09,22,12797
2022-05-09,23,9924
2022-05-10,0,6392
2022-05-10,1,5972
2022-05-10,2,5185
2022-05-10,3,5436
2022-05-10,4,3828
2022-05-10,5,6003
2022-05-10,6,5872
2022-05-10,7,7749
2022-05-10,8,8402
2022-05-10,9,7214
2022-05-10,10,8959
2022-05-10,11,11462
2022-05-10,12,12725
2022-05-10,13,11947
2022-05-10,14,10938
2022-05-10,15,10526
2022-05-10,16,10086
2022-05-10,17,9836
2022-05-10,18,9892
2022-05-10,19,7330
2022-05-10,20,5709
2022-05-10,21,5486
2022-05-10,22,5396
2022-05-10,23,5162
2022-05-11,0,4955
2022-05-11,1,5047
2022-05-11,2,5545
2022-05-11,3,5349
2022-05-11,4,3470
2022-05-11,5,5459
2022-05-11,6,6575
2022-05-11,7,8825
2022-05-11,8,8901
2022-05-11,9,8842
2022-05-11,10,9710
2022-05-11,11,11674
2022-05-11,12,15133
2022-05-11,13,11132
2022-05-11,14,11460
2022-05-11,15,12246
2022-05-11,16,13072
2022-05-11,17,14369
2022-05-11,18,11288
2022-05-11,19,9112
2022-05-11,20,8092
2022-05-11,21,6824
2022-05-11,22,6328
2022-05-11,23,5937
2022-05-12,0,5436
2022-05-12,1,6368
2022-05-12,2,6638
2022-05-12,3,5705
2022-05-12,4,3349
2022-05-12,5,5240
2022-05-12,6,4949
2022-05-12,7,7086
2022-05-12,8,8661
2022-05-12,9,7367
2022-05-12,10,7777
2022-05-12,11,8712
2022-05-12,12,12328
2022-05-12,13,9923
2022-05-12,14,12662
2022-05-12,15,12717
2022-05-12,16,12532
2022-05-12,17,12974
2022-05-12,18,15521
