date,hour,bdaddr
2022-06-04,17,22052
2022-06-04,18,20810
2022-06-04,19,19759
2022-06-04,20,16736
2022-06-04,21,13385
2022-06-04,22,10107
2022-06-04,23,9123
2022-06-05,0,5164
2022-06-05,1,4232
2022-06-05,2,3822
2022-06-05,3,1911
2022-06-05,4,1782
2022-06-05,5,3697
2022-06-05,6,1869
2022-06-05,7,5646
2022-06-05,8,8960
2022-06-05,9,14912
2022-06-05,10,60
2022-06-05,11,23199
2022-06-05,12,102
2022-06-05,13,22367
2022-06-05,14,20653
2022-06-05,15,87
2022-06-05,16,22711
2022-06-05,17,22062
2022-06-05,18,17340
2022-06-05,19,16866
2022-06-05,20,12570
2022-06-05,21,48
2022-06-05,22,7059
2022-06-05,23,5395
2022-06-06,0,2921
2022-06-06,1,8
2022-06-06,2,2437
2022-06-06,3,1944
2022-06-06,4,1654
2022-06-06,5,10
2022-06-06,6,4204
2022-06-06,7,10845
2022-06-06,8,15266
2022-06-06,9,13414
2022-06-06,10,11080
2022-06-06,11,16486
2022-06-06,12,15594
2022-06-06,13,12104
2022-06-06,14,13715
2022-06-06,15,13373
2022-06-06,16,14326
2022-06-06,17,16792
2022-06-06,18,17249
2022-06-06,19,29
2022-06-06,20,81
2022-06-06,21,7746
2022-06-06,22,5571
2022-06-06,23,3143
2022-06-07,0,3116
2022-06-07,1,2494
2022-06-07,2,6
2022-06-07,3,1383
2022-06-07,4,1566
2022-06-07,5,2129
2022-06-07,6,3685
2022-06-07,7,15
2022-06-07,8,15148
2022-06-07,9,13120
2022-06-07,10,11289
2022-06-07,11,52
2022-06-07,12,398
2022-06-07,13,13307
2022-06-07,14,13088
2022-06-07,15,13893
2022-06-07,16,15555
2022-06-07,17,15572
2022-06-07,18,17263
2022-06-07,19,13311
2022-06-07,20,12240
2022-06-07,21,9723
2022-06-07,22,6816
2022-06-07,23,5643
2022-06-08,0,4188
2022-06-08,1,2114
2022-06-08,2,1765
2022-06-08,3,779
2022-06-08,4,1150
2022-06-08,5,442
2022-06-08,6,4114
2022-06-08,7,9283
2022-06-08,8,10946
2022-06-08,9,14203
2022-06-08,10,14218
2022-06-08,11,7634
2022-06-08,12,2649
2022-06-08,13,13977
2022-06-08,14,15988
2022-06-08,15,11101
2022-06-08,16,18321
2022-06-08,17,21104
2022-06-08,18,15771
2022-06-08,19,11430
2022-06-08,20,12302
2022-06-08,21,5974
2022-06-08,22,3646
2022-06-08,23,2538
2022-06-09,0,1897
2022-06-09,1,1921
2022-06-09,2,518
2022-06-09,3,847
2022-06-09,5,2750
2022-06-09,6,8769
2022-06-09,7,16715
2022-06-09,8,16749
2022-06-09,9,11769
2022-06-09,10,8490
2022-06-09,12,18251
2022-06-09,13,9761
2022-06-09,14,14764
2022-06-09,15,19397
2022-06-09,16,22775
2022-06-09,17,6739
2022-06-09,18,16761
2022-06-09,19,11310
2022-06-09,20,4341
2022-06-09,21,4951
2022-06-09,23,2453
2022-06-10,0,2276
2022-06-10,1,2333
2022-06-10,2,1745
2022-06-10,3,2388
2022-06-10,4,2331
2022-06-10,5,3482
2022-06-10,6,19488
2022-06-10,7,11976
2022-06-10,8,2638
2022-06-10,9,7032
2022-06-10,10,4131
2022-06-10,11,17132
2022-06-10,12,16512
2022-06-10,13,15728
2022-06-10,14,13356
2022-06-10,15,3528
2022-06-10,16,23748
2022-06-10,17,14502
2022-06-10,18,9129
2022-06-10,19,15387
2022-06-10,20,10901
2022-06-10,21,4332
2022-06-10,22,3770
2022-06-10,23,3047
2022-06-11,0,1938
2022-06-11,1,1069
2022-06-11,2,2039
2022-06-11,3,1719
2022-06-11,4,5382
2022-06-11,5,7325
2022-06-11,6,7757
2022-06-11,7,17037
2022-06-11,8,20169
2022-06-11,9,3454
2022-06-11,10,12282
2022-06-11,11,21426
2022-06-11,12,22273
2022-06-11,13,2450
2022-06-11,14,17855
2022-06-11,15,1340
2022-06-11,16,12760
2022-06-11,17,4540
2022-06-11,20,1416
2022-06-11,21,11026
2022-06-11,22,4289
2022-06-11,23,7753
2022-06-12,0,2770
2022-06-12,1,3157
2022-06-12,2,3333
2022-06-12,3,2214
2022-06-12,4,1486
2022-06-12,5,1420
2022-06-12,6,3883
2022-06-12,7,6435
2022-06-12,8,8883
2022-06-12,9,8133
2022-06-12,10,3910
2022-06-12,11,16293
2022-06-12,12,21168
2022-06-12,13,16456
2022-06-12,14,19762
2022-06-12,15,5629
2022-06-12,16,13124
2022-06-12,17,15914
2022-06-12,18,14990
2022-06-12,19,13290
2022-06-12,20,3609
2022-06-12,21,5264
