date,hour,bdaddr
2022-05-13,6,302
2022-05-14,10,14138
2022-05-14,11,60414
2022-05-14,12,68668
2022-05-14,13,73669
2022-05-14,14,78690
2022-05-14,15,77360
2022-05-14,16,77602
2022-05-14,17,78443
2022-05-14,18,41075
2022-05-14,19,330
2022-05-15,6,1355
2022-05-15,7,7849
2022-05-15,8,17323
2022-05-15,9,24704
2022-05-15,10,52439
2022-05-15,11,68028
2022-05-15,12,68879
2022-05-15,13,70967
2022-05-15,14,83245
2022-05-15,15,83053
2022-05-15,16,81854
2022-05-15,17,166
2022-05-22,11,2667
2022-05-22,12,6422
2022-05-22,13,7827
2022-05-22,14,8824
2022-05-22,15,5507
2022-05-22,16,3478
2022-05-22,17,8625
2022-05-22,18,7437
2022-05-22,19,1080
2022-05-25,14,1275
2022-05-25,15,1583
2022-05-25,16,1263
2022-05-25,18,862
2022-05-25,19,178
2022-05-25,20,1417
2022-05-25,21,87
2022-05-25,23,93
2022-05-26,0,77
2022-05-26,1,19
2022-05-26,2,207
2022-05-26,3,730
2022-05-26,4,692
2022-05-26,5,802
2022-05-26,6,1101
2022-05-26,7,2589
2022-05-26,8,3642
2022-05-26,9,4114
2022-05-26,10,5141
2022-05-26,11,5192
2022-05-26,12,6699
2022-05-26,13,8824
2022-05-26,14,7739
2022-05-26,15,8319
2022-05-26,16,8079
2022-05-26,17,7274
2022-05-26,18,8269
2022-05-26,19,6061
2022-05-26,20,4967
2022-05-26,21,3882
2022-07-12,20,2002
