date,hour,bdaddr
2022-09-12,21,1576
2022-09-13,11,3089
2022-09-13,12,2199
2022-09-13,15,15172
2022-09-13,16,14654
2022-09-13,17,12095
2022-09-13,18,9851
2022-09-13,19,8813
2022-09-13,20,7398
2022-09-13,21,6603
2022-09-13,22,4792
2022-09-13,23,3756
2022-09-14,0,3063
2022-09-14,1,2711
2022-09-14,2,2773
2022-09-14,3,2616
2022-09-14,4,3244
2022-09-14,5,3115
2022-09-14,6,3781
2022-09-14,7,7147
2022-09-14,8,15055
2022-09-14,9,20070
2022-09-14,10,19082
2022-09-14,11,20612
2022-09-14,12,20886
2022-09-14,13,21157
2022-09-14,14,21724
2022-09-14,15,20980
2022-09-14,16,16907
2022-09-14,17,13099
2022-09-14,18,13114
2022-09-14,19,13253
2022-09-14,20,13510
2022-09-14,21,9442
2022-09-14,22,6866
2022-09-14,23,5480
2022-09-15,0,3742
2022-09-15,1,3345
2022-09-15,2,3371
2022-09-15,3,3140
2022-09-15,4,18
2022-09-15,5,3733
2022-09-15,6,5261
2022-09-15,7,7947
2022-09-15,8,20463
2022-09-15,9,19439
2022-09-15,10,17196
2022-09-15,11,20084
2022-09-15,12,21024
2022-09-15,13,22841
2022-09-15,14,23651
2022-09-15,15,23061
2022-09-15,16,18880
2022-09-15,17,14198
2022-09-15,18,13696
2022-09-15,19,12382
2022-09-15,20,11060
2022-09-15,21,9137
2022-09-15,22,8258
2022-09-15,23,7325
2022-09-16,0,44
2022-09-16,1,4687
2022-09-16,2,4612
2022-09-16,3,3910
2022-09-16,4,4506
2022-09-16,5,4352
2022-09-16,6,5038
2022-09-16,7,6753
2022-09-16,8,11763
2022-09-16,9,15259
2022-09-16,10,15834
2022-09-16,11,19950
2022-09-16,12,21058
2022-09-16,13,20028
2022-09-16,14,21135
2022-09-16,15,17698
2022-09-16,16,14782
2022-09-16,17,14980
2022-09-16,18,13166
2022-09-16,19,12775
2022-09-16,20,11449
2022-09-16,21,8912
2022-09-16,22,8080
2022-09-16,23,7309
2022-09-17,0,4810
2022-09-17,1,4312
2022-09-17,2,45
2022-09-17,3,3497
2022-09-17,4,3861
2022-09-17,5,3649
2022-09-17,6,4484
2022-09-17,7,7873
2022-09-17,8,20985
